clips	text	text_process	pictos	tokens
cefc-cfpb-1000-5-1488	oui oui oui je pense aussi	oui oui oui je pense aussi	[5584, 6632, 38796]	oui me penser
cefc-cfpb-1000-5-1110	même euh elle elle a commencé à travailler entre guillemets	même euh elle elle a commencé à travailler entre guillemets	[4667, 7028, 9839, 7028, 5431, 7041, 6624]	même elle passé elle commencer à travailler
cefc-cfpb-1000-5-458	non peut plus rester comme ça	non peut plus rester comme ça	[5525, 35949, 5508, 27206, 12313, 6906]	non pouvoir plus_ rester comme celle-là
cefc-cfpb-1000-5-1714	mais ma journée est finie	mais ma journée est finie	[11377, 12264, 7022, 36480, 5358]	alors_que mon journée être fini
cefc-cfpb-1000-5-1483	regarde le le chose aussi	regarde le le chose aussi	[6564, 8476, 11318, 3417]	voir le truc !
cefc-cfpb-1000-5-108	euh attends	euh attends	[36914]	attend
cefc-cfpb-1000-5-798	donc au pacheco tout est vide	donc au pacheco tout est vide	[11709, 2704, 5596, 36480, 26527]	au ville tout être vide
cefc-cfpb-1000-5-635	et ben avant il y avait le bon marché	et ben avant il y avait le bon marché	[11399, 32745, 9001, 8476, 4574]	et avant il_y_a le bon_marché
cefc-cfpb-1000-5-1699	ils ont fait les cornichons	ils ont fait les cornichons	[9839, 7032, 6190, 8477, 36567]	passé ils faire les cornichon
cefc-cfpb-1000-5-1633	n il y a encore des délibés qui se donnent	n il y a encore des délibés qui se donnent	[9001, 37163, 5374, 37779, 11351, 17040]	il_y_a une_autre_fois plusieurs quelqu'un que donner
cefc-cfpb-1000-5-675	et on organisait en fait derrière les les différents salons foires du livre	et on organisait en fait derrière les les différents salons foires du livre	[11399, 9839, 31672, 33970, 5443, 8477, 32394, 6211, 4649, 7074, 2450]	et passé nous coordonner derrière les différent salon fête_foraine de livre
cefc-cfpb-1000-5-1808	alors il faut fermer il faut ouvrir les portes	alors il faut fermer il faut ouvrir les portes	[15523, 2697, 15523, 2637, 8477, 3244]	devoir fermer devoir ouvrir les porte
cefc-cfpb-1000-5-1331	j'en ai pris euh un bol d'	j'en ai pris euh un bol d'	[9839, 6632, 11709, 10148, 2627, 3257, 3088]	passé me au prendre un saladier d
cefc-cfpb-1000-5-1363	comment les gens font pour être livrés	comment les gens font pour être livrés	[22619, 9839, 8477, 38444, 6190, 7194, 17040]	comment passé les gens faire pour donner
cefc-cfpb-1000-5-1161_2	euh mh			
cefc-cfpb-1000-5-1368	le problème c'est que comme tu peux le constater on il y a plein de choses qui viennent sur le tapis en disant maintenant	le problème c'est que comme tu peux le constater on il y a plein de choses qui viennent sur le tapis en disant maintenant	[8476, 5556, 7095, 36480, 11351, 12313, 6625, 35949, 8476, 31672, 9001, 22629, 11318, 11351, 32669, 5451, 8476, 2249, 11709, 9693, 32747]	le problème celui-là être que comme toi pouvoir le nous il_y_a grand_chose truc que venir sur le tapis au dire maintenant
cefc-cfpb-1000-5-587	et alors en fait c'est euh ils ont les bruxellois ont chassé les hol les les les les hollandais de de bruxelles	et alors en fait c'est euh ils ont les bruxellois ont chassé les hol les les les les hollandais de de bruxelles	[11399, 9839, 7095, 36480, 7032, 32761, 8477, 2704, 8533, 8477, 37779, 8477, 19547, 7074, 23769]	et passé celui-là être ils avoir les ville chasser les quelqu'un les pays-bas de bruxelles
cefc-cfpb-1000-5-1489	et euh au niveau des informations qui circulent dans le quartier comment est-ce que tu t'informes par rapport à tout ce qui se passe dans le quartier non	et euh au niveau des informations qui circulent dans le quartier comment est-ce que tu t'informes par rapport à tout ce qui se passe dans le quartier non	[11399, 9819, 9899, 11351, 23929, 7034, 8476, 25849, 22619, 3418, 6625, 37708, 5596, 7095, 11351, 31999, 7034, 8476, 25849, 5525]	et place information que circuler dans le quartier comment est-ce_que toi recommander tout celui-là que passer dans le quartier non
cefc-cfpb-1000-5-1245	et alors tu retrouves un peu n'importe quoi dans ces ja dans ce jardin	et alors tu retrouves un peu n'importe quoi dans ces ja dans ce jardin	[11399, 6625, 24773, 29105, 36449, 7034, 7092, 36935, 7034, 7095, 30608]	et toi retrouver seconde grave dans ces haut_du_corps dans celui-là jardin
cefc-cfpb-1000-5-1737	non-anonymisée donc ça veut dire	non-anonymisée donc ça veut dire	[6906, 5441, 9693, 3417]	celle-là vouloir dire !
cefc-cfpb-1000-5-1587	et il m'a dit tu dois dire non non je peux pas	et il m'a dit tu dois dire non non je peux pas	[11399, 9839, 6480, 6632, 9693, 6625, 15523, 5525, 6632, 35949, 5526]	et passé il me dire toi devoir non me pouvoir non
cefc-cfpb-1000-5-191	ok parfait allez encore une question euh	ok parfait allez encore une question euh	[31410, 38006, 8142, 37163, 8474, 7217]	d'accord impeccable aller une_autre_fois une question
cefc-cfpb-1000-5-810	ou est-ce que c'est vraiment le français qui domine	ou est-ce que c'est vraiment le français qui domine	[11317, 3418, 7095, 36480, 8476, 36367, 11351, 9001]	ou est-ce_que celui-là être le français que il_y_a
cefc-cfpb-1000-5-1754	ce serait pour euh des micros pour un micro dans l'auditoire un	ce serait pour euh des micros pour un micro dans l'auditoire un	[7095, 36480, 7194, 5374, 2912, 7194, 2627, 2912, 7034, 8476, 24783, 2627]	celui-là être pour plusieurs micro pour un micro dans le audience un
cefc-cfpb-1000-5-113	ben septante -sept septante-six	ben septante -sept septante-six	[7248, 29388, 2632]	7 70 six
cefc-cfpb-1000-5-590	et forcément on s'arrange toujours pour que	et forcément on s'arrange toujours pour que	[11399, 31672, 17322, 7194, 11351]	et nous chaque_fois pour que
cefc-cfpb-1000-5-909	et elle a examen lundi il se fait que ben forcément elle sait plus récupérer ses affaires parce que son casier est bloqué	et elle a examen lundi il se fait que ben forcément elle sait plus récupérer ses affaires parce que son casier est bloqué	[11399, 9839, 7028, 32761, 38462, 6554, 6480, 6190, 11351, 7028, 16885, 5508, 9026, 12276, 6457, 11348, 12272, 8705, 37617]	et passé elle avoir contrôle lundi il faire que elle savoir plus_ rendre ses acheter parce_que son casier couvrir_un_œil
cefc-cfpb-1000-5-611	évidemment de toute façon c'est toujours plus amusant hein	évidemment de toute façon c'est toujours plus amusant hein	[7095, 36480, 17322, 5508, 24733]	celui-là être chaque_fois plus_ amusant
cefc-cfpb-1000-5-109	donc je suis je suis euh attends septante septante-neuf	donc je suis je suis euh attends septante septante-neuf	[6632, 27331, 6632, 36480, 28677, 4705]	me suivre me être attendre neuf
cefc-cfpb-1000-5-1384	et ils sont dans dans la terre	et ils sont dans dans la terre	[11399, 7032, 36480, 7034, 8476, 3160]	et ils être dans le terre
cefc-cfpb-1000-5-607	et voilà ils vont d'abord euh choisir un arbre entre eux hein deux trois personnes	et voilà ils vont d'abord euh choisir un arbre entre eux hein deux trois personnes	[11399, 7032, 8142, 32745, 30510, 2627, 3057, 6491, 7033, 4890, 2629, 34560]	et ils aller avant préférer un arbre entrer eux 2 trois personne
cefc-cfpb-1000-5-2	c'est pour le séminaire	c'est pour le séminaire	[7095, 36480, 7194, 8476, 37779]	celui-là être pour le quelqu'un
cefc-cfpb-1000-5-317	et tu as env oui	et tu as env oui	[11399, 6625, 32761, 5584]	et toi avoir oui
cefc-cfpb-1000-5-1418	hum je pense que c'est bien	hum je pense que c'est bien	[6632, 38796, 11351, 7095, 36480, 5397]	me penser que celui-là être heureusement
cefc-cfpb-1000-5-1223	et tu enlèves à l'intérieur tu enlèves une partie à l'intérieur	et tu enlèves à l'intérieur tu enlèves une partie à l'intérieur	[11399, 6625, 5568, 5439, 6625, 5568, 8474, 27093, 5439]	et toi sortir dedans toi sortir une pièce dedans
cefc-cfpb-1000-5-414	tu vois ce était des des des	tu vois ce était des des des	[9839, 11617, 7095, 36480, 5374]	passé tu_vois celui-là être plusieurs
cefc-cfpb-1000-5-19	c'est c'est et fais d'abord ton truc	c'est c'est et fais d'abord ton truc	[7095, 36480, 7095, 36480, 11399, 6190, 32745, 12281, 11318]	celui-là être celui-là être et faire avant ton truc
cefc-cfpb-1000-5-553	non non non non pas du tout non non non non non non non	non non non non pas du tout non non non non non non non	[5525]	non
cefc-cfpb-1000-5-1136	et ben le gars il a ouvrir il a ouvert une boucherie	et ben le gars il a ouvrir il a ouvert une boucherie	[11399, 8476, 31268, 9839, 6480, 32761, 2637, 6480, 2637, 8474, 35663]	et le garçon_en_sous-vêtement passé il avoir ouvrir il ouvrir une boucherie
cefc-cfpb-1000-5-1376	et il qu'on en fait plusieurs moi	et il qu'on en fait plusieurs moi	[11399, 6480, 11351, 31672, 5374, 6632]	et il que nous plusieurs me
cefc-cfpb-1000-5-1585	non il faut mon chef aussi maintenant	non il faut mon chef aussi maintenant	[5525, 15523, 12264, 22755, 32747]	non devoir mon chef maintenant
cefc-cfpb-1000-5-773	mais bon euh elle était toute seule aussi et puis voilà	mais bon euh elle était toute seule aussi et puis voilà	[9839, 7028, 36480, 10213]	passé elle être seule
cefc-cfpb-1000-5-943	je zappe je je lui dis juste	je zappe je je lui dis juste	[6632, 26730, 6632, 6481, 9693, 21381]	me changer_de_chaîne me lui dire juste
cefc-cfpb-1000-5-472	ok au n quand tu comment tu te vois est-ce que tu te vois d'abord bruxellois	ok au n quand tu comment tu te vois est-ce que tu te vois d'abord bruxellois	[31410, 11709, 32874, 6625, 22619, 6625, 11617, 3418, 6625, 11617, 32745]	d'accord au quand toi comment toi tu_vois est-ce_que toi tu_vois avant
cefc-cfpb-1000-5-1702	et malheureusement quand je sais pas bah c'est jusque là hein c'est le seau d'eau que je renverse dans le dans le truc	et malheureusement quand je sais pas bah c'est jusque là hein c'est le seau d'eau que je renverse dans le dans le truc	[11399, 32874, 5526, 7095, 36480, 5375, 7095, 36480, 8476, 35605, 11351, 6632, 5982, 7034, 8476, 7034, 8476, 11318]	et quand non celui-là être là celui-là être le seau_d'eau que me renverser dans le dans le truc
cefc-cfpb-1000-5-1378	le problème c'est que les transports en commun ne suit pas	le problème c'est que les transports en commun ne suit pas	[8476, 5556, 7095, 36480, 11351, 8477, 10351, 26817, 27331, 5526]	le problème celui-là être que les transports converger suivre non
cefc-cfpb-1000-5-864	euh j'ai des c des amis hollandais qui sont partis de bruxelles pour aller habiter à la mer	euh j'ai des c des amis hollandais qui sont partis de bruxelles pour aller habiter à la mer	[9829, 9839, 6632, 32761, 5374, 25792, 19547, 11351, 2432, 7074, 23769, 7194, 7302, 7041, 2925]	prochain passé me avoir plusieurs relation pays-bas que partir de bruxelles pour habiter à mer
cefc-cfpb-1000-5-954	bon j'ou je déballe le truc	bon j'ou je déballe le truc	[34641, 6632, 11317, 6632, 5568, 8476, 11318]	exact me ou me sortir le truc
cefc-cfpb-1000-5-1220	donc tu fais cuire tes chicons	donc tu fais cuire tes chicons	[6625, 3235, 12283, 5452]	toi faire_cuire à_toi chicon
cefc-cfpb-1000-5-1482	on a on ici à bruxelles on a vraiment une une belle place hein	on a on ici à bruxelles on a vraiment une une belle place hein	[31672, 32761, 31672, 5382, 7041, 23769, 31672, 32761, 8474, 11194, 9819]	nous avoir nous ici à bruxelles nous avoir une beau place
cefc-cfpb-1000-5-1099	et alors bon c'est toujours la même chose	et alors bon c'est toujours la même chose	[11399, 34641, 7095, 36480, 17322, 8476, 4667, 11318]	et exact celui-là être chaque_fois le même truc
cefc-cfpb-1000-5-1760	euh oui mais c'est pour déjà les avoir comme ça	euh oui mais c'est pour déjà les avoir comme ça	[5584, 11377, 7095, 36480, 7194, 8477, 32761, 12313, 6906]	oui alors_que celui-là être pour les avoir comme celle-là
cefc-cfpb-1000-5-1184	et tu les tu fais une purée avec	et tu les tu fais une purée avec	[11399, 6625, 8477, 6625, 6190, 8474, 2539, 7064]	et toi les toi faire une purée avec
cefc-cfpb-1000-5-1100	c'est que si tu n'as pas deux ans de chômage on sait pas t'embaucher parce qu'en fait	c'est que si tu n'as pas deux ans de chômage on sait pas t'embaucher parce qu'en fait	[7095, 36480, 11351, 28359, 6625, 32761, 5526, 2628, 6903, 7074, 32442, 31672, 5526, 6625, 16174]	celui-là être que si toi avoir non deux année de vacances nous non toi engager
cefc-cfpb-1000-5-898	et puis en fait c'est la fille de katia	et puis en fait c'est la fille de katia	[7095, 36480, 8476, 32845, 7074, 36935]	celui-là être le fille de haut_du_corps
cefc-cfpb-1000-5-87	je vais euh tu dois avoir le f le fixe ou le le gsm	je vais euh tu dois avoir le f le fixe ou le le gsm	[6632, 8142, 6625, 15523, 32761, 8476, 11317, 8476, 2586]	me aller toi devoir avoir le ou le téléphone
cefc-cfpb-1000-5-1326	alors pas de bip bip pas de gsm à ce moment-là	alors pas de bip bip pas de gsm à ce moment-là	[5526, 7074, 7255, 5526, 7074, 2586, 7041, 22633, 7095]	non de sonnerie non de téléphone à instant celui-là
cefc-cfpb-1000-5-125	son lieu d'origine	son lieu d'origine	[12272, 9819, 7074, 12295]	son place de raison
cefc-cfpb-1000-5-228	il a fallu fermer les portes	il a fallu fermer les portes	[32761, 15523, 2697, 8477, 3244]	avoir devoir fermer les porte
cefc-cfpb-1000-5-1186	tu essayes de mélanger les deux	tu essayes de mélanger les deux	[6625, 26144, 7074, 5515, 5367]	toi essayer de mélanger à_côté_de
cefc-cfpb-1000-5-744	ça fait deux ans que j'ai des voisins	ça fait deux ans que j'ai des voisins	[6906, 6190, 2628, 6903, 11351, 6632, 32761, 5374, 26529]	celle-là faire deux année que me avoir plusieurs voisins
cefc-cfpb-1000-5-912	et puis euh elle dit voilà le casier de ma fille	et puis euh elle dit voilà le casier de ma fille	[7028, 9693, 8476, 8705, 7074, 12264, 32845]	elle dire le casier de mon fille
cefc-cfpb-1000-5-1234	ah j'en ferai une fois ça donne envie	ah j'en ferai une fois ça donne envie	[9829, 6632, 11709, 6190, 27385, 6906, 17040, 5441]	prochain me au faire fois celle-là donner vouloir
cefc-cfpb-1000-5-1679	alors je vais voir parce que je sais où il y a du monde	alors je vais voir parce que je sais où il y a du monde	[9829, 6632, 6564, 11348, 6632, 16885, 7764, 9001, 11712, 30015]	prochain me voir parce_que me savoir où il_y_a du globe
cefc-cfpb-1000-5-1035	il y a un professeur qui m'a demandé q de te demander d'arrêter de siffler dans les couloirs	il y a un professeur qui m'a demandé q de te demander d'arrêter de siffler dans les couloirs	[9001, 2627, 2457, 9839, 11351, 6632, 9840, 7074, 6625, 9840, 7074, 27393, 7074, 7249, 7034, 8477, 16315]	il_y_a un maître passé que me demander de toi demander de arrêter de siffler dans les couloir
cefc-cfpb-1000-5-1598	et il se fait qu'un jour dans l'auditoire un les micros ne fonctionnent pas	et il se fait qu'un jour dans l'auditoire un les micros ne fonctionnent pas	[11399, 6480, 6190, 11351, 2627, 37371, 7034, 8476, 24783, 2627, 8477, 2912, 8555, 5526]	et il faire que un jour dans le audience un les micro fonctionner non
cefc-cfpb-1000-5-512	nos nos maisons qui ont été un peu dé dé enfin euh changées modernisées	nos nos maisons qui ont été un peu dé dé enfin euh changées modernisées	[12268, 2317, 9839, 11351, 36480, 29105, 2731]	notre maison passé que être seconde dé
cefc-cfpb-1000-5-676	euh f foires du bricolage des trucs comme ça	euh f foires du bricolage des trucs comme ça	[4649, 7074, 8199, 7074, 11318, 12313, 6906]	fête_foraine de bricolage de truc comme celle-là
cefc-cfpb-1000-5-1594	la la fille la la fille qui euh	la la fille la la fille qui euh	[8476, 32845, 8476, 32845, 11351]	le fille le fille que
cefc-cfpb-1000-5-1480	faire attention à tout ce qui est euh aussi culture hein je veux dire culture euh comment les les théâtres euh la musique	faire attention à tout ce qui est euh aussi culture hein je veux dire culture euh comment les les théâtres euh la musique	[25618, 7041, 5596, 7095, 11351, 36480, 11693, 5441, 9693, 11693, 22619, 8477, 10284, 8476, 24791, 3417]	attention à tout celui-là que être culture vouloir dire culture comment les théâtres le musique !
cefc-cfpb-1000-5-874	ici tu es à bruxelles au quarante-trois devant le quarante-trois	ici tu es à bruxelles au quarante-trois devant le quarante-trois	[5382, 6625, 36480, 7041, 23769, 11709, 29328, 5438, 8476, 29328]	ici toi être à bruxelles au 43 devant le 43
cefc-cfpb-1000-5-421	et ce sont des professeurs qui étaient	et ce sont des professeurs qui étaient	[11399, 7095, 36480, 5374, 2457, 11351, 36480]	et celui-là être plusieurs maître que être
cefc-cfpb-1000-5-1533	euh nan c'est pas vrai parce que	euh nan c'est pas vrai parce que	[5525, 7095, 36480, 5526, 5584, 11348]	non celui-là être non oui parce_que
cefc-cfpb-1000-5-609	les les les bourgmestres tous ceux qui portent l'arbre	les les les bourgmestres tous ceux qui portent l'arbre	[8477, 3170, 5596, 7096, 11351, 6553, 8476, 3057]	les maire tout ceux-là que porter le arbre
cefc-cfpb-1000-5-1091	ben euh en fait maintenant	ben euh en fait maintenant	[32747]	maintenant
cefc-cfpb-1000-5-211	pour le chauffage	pour le chauffage	[7194, 8476, 34872]	pour le chauffage
cefc-cfpb-1000-5-434	les deux étages de de bibliothèque et le l'étage informatique	les deux étages de de bibliothèque et le l'étage informatique	[5367, 11343, 7074, 3065, 11399, 8476, 37864, 2834]	à_côté_de étage de bibliothèque et le étage artiste_peintre
cefc-cfpb-1000-5-75	septante-et-un quatre-vingt nonante-et-un deux-mille-un t oh r	septante-et-un quatre-vingt nonante-et-un deux-mille-un t oh r	[2628, 2627]	deux un
cefc-cfpb-1000-5-1262	et tu en as de bons souvenirs	et tu en as de bons souvenirs	[11399, 6625, 11709, 32761, 7074, 4581, 32107]	et toi au avoir de sage souvenirs
cefc-cfpb-1000-5-1017	parce que en faut faut t'imaginer que avant c'était deux ans	parce que en faut faut t'imaginer que avant c'était deux ans	[11348, 9839, 11709, 15523, 6625, 37062, 11351, 32745, 7095, 36480, 2628, 6903]	parce_que passé au devoir toi imaginer que avant celui-là être deux année
