clips	text	text_process	pictos	tokens
cefc-clapi-aperitif_chat-160	on commence la soirée là	on commence la soirée là	[31672, 5431, 8476, 24963, 5375]	nous commencer le soirée là
cefc-clapi-aperitif_chat-1009	tu sais c'est pas ce qui manque hein	tu sais c'est pas ce qui manque hein	[6625, 16885, 7095, 36480, 5526, 7095, 11351, 32360]	toi savoir celui-là être non celui-là que manquer
cefc-clapi-aperitif_chat-751	nan mais c'est clair	nan mais c'est clair	[5525, 11377, 5584]	non alors_que oui
cefc-clapi-aperitif_chat-573	c'est que	c'est que	[7095, 36480, 11351]	celui-là être que
cefc-clapi-aperitif_chat-1069	tu peux avoir un abonnement enfin très très courte durée	tu peux avoir un abonnement enfin très très courte durée	[6625, 35949, 32761, 2627, 25708, 26002, 17052]	toi pouvoir avoir un trop court délai
cefc-clapi-aperitif_chat-654	là euh	là euh	[5375]	là
cefc-clapi-aperitif_chat-927	mais au final en fait là c'est comme d'hab	mais au final en fait là c'est comme d'hab	[11377, 5375, 7095, 36480, 12313, 7074]	alors_que là celui-là être comme de
cefc-clapi-aperitif_chat-126	nan mais vas-y	nan mais vas-y	[5525, 11377, 8142]	non alors_que aller
cefc-clapi-aperitif_chat-798	oui c'est vrai que les noms étaient vachement proches	oui c'est vrai que les noms étaient vachement proches	[5584, 7095, 36480, 5584, 11351, 9839, 8477, 38570, 36480, 5521, 25792]	oui celui-là être oui que passé les nom être beaucoup relation
cefc-clapi-aperitif_chat-429	j'en ai	j'en ai	[6632, 11709, 32761]	me au avoir
cefc-clapi-aperitif_chat-66	vous voulez un truc alcoolisé	vous voulez un truc alcoolisé	[9839, 7304, 5441, 2627, 11318]	passé vous vouloir un truc
cefc-clapi-aperitif_chat-469	moi en fait j'ai jamais vu de toute ma vie en fait des	moi en fait j'ai jamais vu de toute ma vie en fait des	[6632, 9839, 6632, 5527, 6564, 7074, 5596, 12264, 8717, 5374]	me passé me jamais voir de tout mon vie plusieurs
cefc-clapi-aperitif_chat-847	en fait moi je trouve ça intéressant	en fait moi je trouve ça intéressant	[6632, 24742, 6906, 37709]	me trouver celle-là intéresser
cefc-clapi-aperitif_chat-546	qui n'ont n'en jamais eu il y a vraiment les gens qui ont des animaux	qui n'ont n'en jamais eu il y a vraiment les gens qui ont des animaux	[9839, 11351, 32761, 11709, 5527, 32761, 9001, 8477, 38444, 11351, 32761, 5374, 6901]	passé que avoir au jamais avoir il_y_a les gens que avoir plusieurs animaux
cefc-clapi-aperitif_chat-1084	pas ouais c'est clair avec assurance euh	pas oui c'est clair avec assurance euh	[5526, 5584, 7064, 16035]	non oui avec assurance
cefc-clapi-aperitif_chat-270	en fait c'est une petite association que j'ai découverte ouais	en fait c'est une petite association que j'ai découverte oui	[9839, 7095, 8474, 25839, 36345, 11351, 6632, 6531, 5584]	passé celui-là une petit association que me inventer oui
cefc-clapi-aperitif_chat-988	mouais tu vois	moui tu vois	[5584, 11617]	oui tu_vois
cefc-clapi-aperitif_chat-554	ouais ah ouais	oui ah oui	[5584]	oui
cefc-clapi-aperitif_chat-143	il te plait	il te plaît	[6480, 6625, 21917]	il toi plaire
cefc-clapi-aperitif_chat-794	ouais ouais	oui oui	[5584]	oui
cefc-clapi-aperitif_chat-478	un groupe de jeunes bah ils voudraient euh je sais pas moi prendre un petit apéro comme nous	un groupe de jeunes bah ils voudraient euh je sais pas moi prendre un petit apéro comme nous	[2627, 7116, 7074, 38817, 7032, 5441, 5526, 6632, 10148, 2627, 4716, 30488, 12313, 31672]	un groupe de jeunes ils vouloir non me prendre un petit apéritif comme nous
cefc-clapi-aperitif_chat-634	mais en fait les chats ils comprennent	mais en fait les chats ils comprennent	[11377, 8477, 2406, 7032, 11697]	alors_que les chats ils comprendre
cefc-clapi-aperitif_chat-640	c'est compliqué la la langue tu vois	c'est compliqué la la langue tu vois	[7095, 36480, 31888, 8476, 2944, 11617]	celui-là être complexité le langue tu_vois
cefc-clapi-aperitif_chat-459	pas visité un peu	pas visité un peu	[35439, 5526, 29105]	faire_la_visite non seconde
cefc-clapi-aperitif_chat-648	l'intonation aussi	l'intonation aussi	[8476]	le
cefc-clapi-aperitif_chat-197	c'est ça décape	c'est ça décape	[7095, 36480, 6906, 37779]	celui-là être celle-là quelqu'un
cefc-clapi-aperitif_chat-333	ouais non c'est méchant avec	oui non c'est méchant avec	[5584, 5525, 7095, 36480, 32526, 7064]	oui non celui-là être méchant avec
cefc-clapi-aperitif_chat-876	tu veux un petit peu de jus de fruit	tu veux un petit peu de jus de fruit	[6625, 5441, 7209, 11461]	toi vouloir peu_nombreux jus
cefc-clapi-aperitif_chat-602	je sais pas j'aurais plus peur du gros rat moi	je sais pas j'aurais plus peur du gros rat moi	[5526, 6632, 32761, 5508, 35571, 7074, 25133, 2821, 6632]	non me avoir plus_ peur de gros rat me
cefc-clapi-aperitif_chat-845	c'est pas lié au pétrole non non non non	c'est pas lié au pétrole non non non non	[7095, 32276, 5526, 11709, 8186, 5525]	celui-là ficeler non au pétrole non
cefc-clapi-aperitif_chat-861	enfin y a beaucoup de contextes qu'on comprend bien en fait	enfin y a beaucoup de contextes qu'on comprend bien en fait	[9001, 5521, 7074, 7297, 11351, 31672, 11697, 5397]	il_y_a beaucoup de contexte que nous comprendre heureusement
cefc-clapi-aperitif_chat-258	mais en fait après au début en fait quand je suis arrivée	mais en fait après au début en fait quand je suis arrivée	[11377, 32749, 5431, 32874, 9839, 6632, 16807]	alors_que après commencer quand passé me arrive
cefc-clapi-aperitif_chat-694	un arbre tu veux hop hop hop	un arbre tu veux hop hop hop	[2627, 3057, 6625, 5441]	un arbre toi vouloir
cefc-clapi-aperitif_chat-215	ah moi non plus hein on a mangé avant de venir aussi	ah moi non plus hein on a mangé avant de venir aussi	[6632, 9839, 31672, 38413, 32745, 7074, 32669]	me passé nous manger avant de venir
cefc-clapi-aperitif_chat-733	tu bosses toujours autant	tu bosses toujours autant	[6625, 6624, 17322]	toi travailler chaque_fois
cefc-clapi-aperitif_chat-72	non mais si tu as un petit truc ouais je veux	non mais si tu as un petit truc oui je veux	[5525, 11377, 28359, 6625, 32761, 2627, 4716, 11318, 5584, 5441]	non alors_que si toi avoir un petit truc oui vouloir
cefc-clapi-aperitif_chat-1154	nan ça va	nan ça va	[5525, 11597]	non comment_ça_va
cefc-clapi-aperitif_chat-821	et après ils font comme si	et après ils font comme si	[11399, 32749, 7032, 6190, 12313, 28359]	et après ils faire comme si
cefc-clapi-aperitif_chat-450	les nan mais quand tu quand tu y étais là ouais dans dans en suède là donc euh tu étais à stockholm ou	les nan mais quand tu quand tu y étais là oui dans dans en suède là donc euh tu étais à stockholm ou	[8477, 5525, 11377, 32874, 9839, 6625, 32874, 6625, 36480, 5375, 5584, 7034, 11709, 28977, 5375, 6625, 36480, 7041, 2704, 11317]	les non alors_que quand passé toi quand toi être là oui dans au suédois là toi être à ville ou
cefc-clapi-aperitif_chat-465	franchement euh	franchement euh	[]	None
cefc-clapi-aperitif_chat-233	quoi j'ai exprès fait attention de rester pendant six mois	quoi j'ai exprès fait attention de rester pendant six mois	[9839, 22620, 6632, 25618, 7074, 27206, 7081, 2632, 37724]	passé quoi me attention de rester pendant six mois
cefc-clapi-aperitif_chat-828	ah ouais	ah oui	[5584]	oui
cefc-clapi-aperitif_chat-65	tu es fan de cacahuète	tu es fan de cacahuète	[6625, 36480, 7074, 2674]	toi être de cacahuète
cefc-clapi-aperitif_chat-9	ah le chat il ch il s'est échappé	ah le chat il ch il s'est échappé	[8476, 7114, 6480, 9839, 6480, 36480, 38017]	le chat il passé il être s'échapper
cefc-clapi-aperitif_chat-411	moi c'est vrai	moi c'est vrai	[6632, 7095, 36480, 5584]	me celui-là être oui
cefc-clapi-aperitif_chat-221	alors la suède ben la suède c'était bien ouais	alors la suède ben la suède c'était bien oui	[8476, 28977, 8476, 28977, 7095, 36480, 5397, 5584]	le suédois le suédois celui-là être heureusement oui
cefc-clapi-aperitif_chat-521	à la limite du truc ouais	à la limite du truc oui	[7041, 8476, 32765, 7074, 11318, 5584]	à le limite de truc oui
cefc-clapi-aperitif_chat-673	la région post labiale ou ou truc dans le genre là	la région post labiale ou ou truc dans le genre là	[8476, 35431, 32749, 3417, 11317, 11318, 7034, 8476, 10345, 5375]	le comme après ! ou truc dans le genre là
cefc-clapi-aperitif_chat-579	les nan	les nan	[8477, 5525]	les non
cefc-clapi-aperitif_chat-1122	je vais vous montrer tout de suite	je vais vous montrer tout de suite	[6632, 8142, 7304, 16823, 32747]	me aller vous montrer maintenant
cefc-clapi-aperitif_chat-831	ouais c'est vrai que c'est pas mal histoire ouais	oui c'est vrai que c'est pas mal histoire oui	[5584, 7095, 36480, 5584, 11351, 5397, 32634, 5584]	oui celui-là être oui que heureusement histoire oui
cefc-clapi-aperitif_chat-348	ah c'est pour ça	ah c'est pour ça	[7095, 36480, 7194, 6906]	celui-là être pour celle-là
cefc-clapi-aperitif_chat-755	nan mais c'est vrai	nan mais c'est vrai	[5525, 11377, 7095, 36480, 5584]	non alors_que celui-là être oui
cefc-clapi-aperitif_chat-236	parce que tout le monde me le demande en fait ouais comment c'était	parce que tout le monde me le demande en fait oui comment c'était	[11348, 9839, 36081, 6632, 8476, 9840, 5584, 22619, 7095, 36480]	parce_que passé tout_le_monde me le demander oui comment celui-là être
cefc-clapi-aperitif_chat-1145	fait ton ampoule là-bas euh	fait ton ampoule là-bas euh	[6190, 12281, 2285, 5375, 3417]	faire ton ampoule là !
cefc-clapi-aperitif_chat-550	qui qui ouais	qui qui oui	[9857, 11351, 5584]	anonymes que oui
cefc-clapi-aperitif_chat-96	c'est un peu un style euh	c'est un peu un style euh	[7095, 36480, 29105, 2627, 37150]	celui-là être seconde un style
cefc-clapi-aperitif_chat-557	les chiens ça dé ouais	les chiens ça dé oui	[8477, 2517, 6906, 37779, 5584]	les chiens celle-là quelqu'un oui
cefc-clapi-aperitif_chat-474	c'est vrai	c'est vrai	[7095, 36480, 5584]	celui-là être oui
cefc-clapi-aperitif_chat-101	ce que tu veux	ce que tu veux	[7095, 11351, 6625, 5441]	celui-là que toi vouloir
cefc-clapi-aperitif_chat-214	bien je sais pas pourquoi j'ai pas très faim	bien je sais pas pourquoi j'ai pas très faim	[5397, 5526, 24763, 6632, 32761, 5526, 25708, 35559]	heureusement non pourquoi me avoir non trop faim
cefc-clapi-aperitif_chat-122	tu veux t'asseoir	tu veux t'asseoir	[6625, 5441, 10177]	toi vouloir s'asseoir
cefc-clapi-aperitif_chat-621	hm à la niche il l'avait pas fait encore	hm à la niche il l'avait pas fait encore	[7041, 8476, 26736, 9839, 6480, 8476, 6190, 5526, 37163]	à le niche passé il le faire non une_autre_fois
cefc-clapi-aperitif_chat-412	j'ai même utilisé les stores	j'ai même utilisé les stores	[9839, 6632, 4667, 15485, 8477, 37697]	passé me même utiliser les store
cefc-clapi-aperitif_chat-100	voilà particulier spécialo colonialo euh	voilà particulier spécialo colonialo euh	[8074]	chine
cefc-clapi-aperitif_chat-882	quoi merci	quoi merci	[22620, 8128]	quoi merci
cefc-clapi-aperitif_chat-1021	tu sais autopartage là pour dans dans pas longtemps	tu sais autopartage là pour dans dans pas longtemps	[6625, 16885, 5375, 7194, 7034, 5526, 37678]	toi savoir là pour dans non longtemps
cefc-clapi-aperitif_chat-384	si si le doubs c'est pas mal hein	si si le doubs c'est pas mal hein	[28359, 8476, 2704, 5397]	si le ville heureusement
cefc-clapi-aperitif_chat-3	coucou ça va	coucou ça va	[6522, 11597]	bonjour comment_ça_va
cefc-clapi-aperitif_chat-75	ou un jus de fruit ou	ou un jus de fruit ou	[11317, 2627, 11461, 11317]	ou un jus ou
cefc-clapi-aperitif_chat-1072	hm enfin	hm enfin	[]	None
cefc-clapi-aperitif_chat-99	et euh	et euh	[11399]	et
cefc-clapi-aperitif_chat-959	ouais c'est vrai	oui c'est vrai	[5584, 7095, 36480, 5584]	oui celui-là être oui
cefc-clapi-aperitif_chat-320	quand j'étais en suède également sous-titrées	quand j'étais en suède également sous-titrées	[32874, 6632, 36480, 11709, 28977, 3423]	quand me être au suédois égal
cefc-clapi-aperitif_chat-1003	mal à la croix rousse	mal à la croix rousse	[5504, 7041, 8476, 8184]	pas_d'accord à le rouquin
cefc-clapi-aperitif_chat-1057	tu loues ta caisse pour euh quelques heures	tu loues ta caisse pour euh quelques heures	[6625, 8012, 12281, 9185, 7194, 36513, 7129]	toi louer ton caisse pour n'importe_qui heure
cefc-clapi-aperitif_chat-1089	bon euh	bon euh	[34641]	exact
cefc-clapi-aperitif_chat-183	pas ouais c'est pour essayer c'est c'est ce côté euh novateur euh imprévisible	pas oui c'est pour essayer c'est c'est ce côté euh novateur euh imprévisible	[5526, 5584, 7095, 36480, 7194, 26144, 7095, 36480, 7095, 36480, 7095, 5367, 37779]	non oui celui-là être pour essayer celui-là être celui-là être celui-là à_côté_de quelqu'un
cefc-clapi-aperitif_chat-93	c'est ça	c'est ça	[7095, 36480, 6906]	celui-là être celle-là
cefc-clapi-aperitif_chat-911	j'ai jamais compris ce qu'elle voulait faire avec	j'ai jamais compris ce qu'elle voulait faire avec	[9839, 6632, 5527, 11697, 7095, 11351, 7028, 5441, 6190, 7064]	passé me jamais comprendre celui-là que elle vouloir faire avec
cefc-clapi-aperitif_chat-704	mais il a fait deux trois trucs à l'envers par rapport à comme moi	mais il a fait deux trois trucs à l'envers par rapport à comme moi	[11377, 9839, 6480, 6190, 4890, 2629, 11318, 12313, 6632]	alors_que passé il faire 2 trois truc comme me
cefc-clapi-aperitif_chat-678	tu vois les tableaux phonétiques les sons euh positions dans la bouche euh	tu vois les tableaux phonétiques les sons euh positions dans la bouche euh	[11617, 8477, 2360, 8477, 27073, 32675, 7034, 8476, 2663]	tu_vois les peintures les son position dans le bouche
cefc-clapi-aperitif_chat-178	mais euh	mais euh	[11377]	alors_que
cefc-clapi-aperitif_chat-860	on com	on com	[31672, 7064, 3417]	nous avec !
cefc-clapi-aperitif_chat-1110	hm hm			
cefc-clapi-aperitif_chat-264	donc euh	donc euh	[]	None
cefc-clapi-aperitif_chat-116	pour cent ouais	pour cent oui	[5093, 5584]	pour_cent oui
cefc-clapi-aperitif_chat-424	et les filles elles aiment bien prendre le vélo	et les filles elles aiment bien prendre le vélo	[11399, 8477, 2484, 7030, 37721, 5397, 10148, 8476, 6935]	et les enfant elles aimer heureusement prendre le vélo
cefc-clapi-aperitif_chat-278	mais si tu le veux pas tu peux ne pas accueillir également	mais si tu le veux pas tu peux ne pas accueillir également	[11377, 28359, 6625, 8476, 5441, 5526, 6625, 35949, 27125, 5526, 3423]	alors_que si toi le vouloir non toi pouvoir visite non égal
cefc-clapi-aperitif_chat-600	ouais c'est vite vu	oui c'est vite vu	[5584, 7095, 37850, 6564]	oui celui-là vite voir
cefc-clapi-aperitif_chat-1093	ouais nan	oui nan	[5584, 5525]	oui non
cefc-clapi-aperitif_chat-1118	ouais si tu veux sortir d'en dehors de lyon un petit coup euh le week-end	oui si tu veux sortir d'en dehors de lyon un petit coup euh le week-end	[5584, 28359, 6625, 5441, 5568, 7074, 5475, 7074, 2704, 2627, 4716, 25944, 8476, 27329]	oui si toi vouloir sortir de dehors de ville un petit coup le fin_de_semaine
cefc-clapi-aperitif_chat-103	bouah c'est joli pour moi c'est sympa ouais	bouah c'est joli pour moi c'est sympa oui	[37779, 7095, 36480, 11194, 2617, 7095, 36480, 37800, 5584]	quelqu'un celui-là être beau à_moi celui-là être adorable oui
cefc-clapi-aperitif_chat-629	mais en fait c'est intéressant parce que y a des gens enfin	mais en fait c'est intéressant parce que y a des gens enfin	[11377, 7095, 36480, 37709, 11348, 9001, 5374, 38444]	alors_que celui-là être intéresser parce_que il_y_a plusieurs gens
cefc-clapi-aperitif_chat-973	parce que il manque un peu trop de sucré ici	parce que il manque un peu trop de sucré ici	[11348, 6480, 32360, 29105, 25708, 7074, 32440, 5382]	parce_que il manquer seconde trop de sucré ici
cefc-clapi-aperitif_chat-758	nan j'ai jamais travaillé	nan j'ai jamais travaillé	[5525, 9839, 6632, 5527, 6624]	non passé me jamais travailler
cefc-clapi-aperitif_chat-94	ouais c'est un truc ikea à moins soixante-dix pour cent qui et en fait euh les mecs ils ont des pièces comme ça ou euh les gens forcément	oui c'est un truc ikea à moins soixante-dix pour cent qui et en fait euh les mecs ils ont des pièces comme ça ou euh les gens forcément	[5584, 7095, 36480, 2627, 11318, 12333, 7041, 5512, 29388, 5093, 11351, 11399, 8477, 7032, 32761, 5374, 8633, 12313, 6906, 11317, 8477, 38444]	oui celui-là être un truc association_à_but_non_lucratif à minimum 70 pour_cent que et les ils avoir plusieurs pièces comme celle-là ou les gens
cefc-clapi-aperitif_chat-866	au lycée ou qu'	au lycée ou qu'	[11709, 32446, 11317]	au collège ou
cefc-clapi-aperitif_chat-580	mais les chiens micro en fait on avait ils tombent malade tout de suite euh tous les ils sont super fragiles	mais les chiens micro en fait on avait ils tombent malade tout de suite euh tous les ils sont super fragiles	[11377, 8477, 2517, 2912, 9839, 31672, 32761, 7032, 7040, 32747, 5596, 8477, 7032, 36480, 38564, 38734]	alors_que les chiens micro passé nous avoir ils tomber_malade maintenant tout les ils être super fragile
cefc-clapi-aperitif_chat-865	enfin moi ça m'a ça m'a beaucoup plus euh intéressé que qu'	enfin moi ça m'a ça m'a beaucoup plus euh intéressé que qu'	[6632, 9839, 6906, 6632, 32761, 6906, 6632, 32761, 5521, 5508, 37709, 11351]	me passé celle-là me avoir celle-là me avoir beaucoup plus_ intéresser que
cefc-clapi-aperitif_chat-1078	quand tu réfléchis que	quand tu réfléchis que	[32874, 6625, 38796, 11351]	quand toi penser que
cefc-clapi-aperitif_chat-181	il boit jamais ça normalement	il boit jamais ça normalement	[6480, 6061, 5527, 6906]	il boire jamais celle-là
cefc-clapi-aperitif_chat-180	non mais le whisky en fait il boit en fait	non mais le whisky en fait il boit en fait	[5525, 11377, 8476, 17249, 6480, 6061]	non alors_que le whisky il boire
cefc-clapi-aperitif_chat-928	tu fais ta politique politicienne langue de bois	tu fais ta politique politicienne langue de bois	[6625, 6190, 12281, 11725, 5548, 2944, 7074, 2886]	toi faire ton politique homme_politique langue de noir
cefc-clapi-aperitif_chat-515	ah mais tu as vu il est dressé	ah mais tu as vu il est dressé	[11377, 9839, 11617, 6480, 37779]	alors_que passé tu_vois il quelqu'un
cefc-clapi-aperitif_chat-161	donc euh	donc euh	[]	None
cefc-clapi-aperitif_chat-949	hm hm et quand même c'est utile d'avoir un background quoi donc après ça dépend vraiment ce qu'on en fait	hm hm et quand même c'est utile d'avoir un background quoi donc après ça dépend vraiment ce qu'on en fait	[11399, 7095, 17036, 7074, 32761, 2627, 34796, 22620, 32749, 6906, 11481, 7095, 11351, 31672]	et celui-là être_utile de avoir un matière_scolaire quoi après celle-là dépendre celui-là que nous
cefc-clapi-aperitif_chat-321	donc enfin et ils ont toujours les versions originales	donc enfin et ils ont toujours les versions originales	[11399, 7032, 32761, 17322, 8477]	et ils avoir chaque_fois les
cefc-clapi-aperitif_chat-584	attrapent des maladies pas possibles	attrapent des maladies pas possibles	[24208, 5374, 11252, 5526, 37861, 3417]	attraper plusieurs maladies non décider !
cefc-clapi-aperitif_chat-120	ça fait un peu bizarre	ça fait un peu bizarre	[6906, 6190, 29105, 11355]	celle-là faire seconde bizarre
cefc-clapi-aperitif_chat-801	moi je pense que que c'est assez utile	moi je pense que que c'est assez utile	[6632, 38796, 11351, 7095, 17036]	me penser que celui-là être_utile
cefc-clapi-aperitif_chat-422	c'est ce qui n'empêche pas les gens de prendre tous les vélos	c'est ce qui n'empêche pas les gens de prendre tous les vélos	[7095, 36480, 7095, 11351, 14008, 5526, 8477, 38444, 7074, 10148, 5596, 8477, 2277]	celui-là être celui-là que alerter non les gens de prendre tout les bmx
cefc-clapi-aperitif_chat-586	enfin je pense là	enfin je pense là	[6632, 38796, 5375]	me penser là
cefc-clapi-aperitif_chat-925	ou tu es spécialisé	ou tu es spécialisé	[11317, 9839, 6625]	ou passé toi
cefc-clapi-aperitif_chat-373	et puis euh h mais euh je me rappelle encore que c'était vraiment joli hm	et puis euh h mais euh je me rappelle encore que c'était vraiment joli hm	[11377, 9839, 6632, 37369, 37163, 11351, 7095, 36480, 11194]	alors_que passé me se_souvenir une_autre_fois que celui-là être beau
cefc-clapi-aperitif_chat-273	je m'en rappelle plus	je m'en rappelle plus	[6632, 11709, 37369, 5508]	me au se_souvenir plus_
cefc-clapi-aperitif_chat-763	mais v c l c'est on bosse hein	mais v c l c'est on bosse hein	[11377, 7095, 36480, 31672, 6624]	alors_que celui-là être nous travailler
cefc-clapi-aperitif_chat-307	parce que vu	parce que vu	[11348, 6564]	parce_que voir
cefc-clapi-aperitif_chat-52	on n'était pas très d'accord	on n'était pas très d'accord	[9839, 31672, 36480, 25708, 5504]	passé nous être trop pas_d'accord
