clips	text	text_process	pictos	tokens
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-49	et regarde le plateau qu'il porte	et regarde le plateau qu'il porte	[11399, 6564, 8476, 2656, 11351, 6480, 6553]	et voir le plateau que il porter
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-114	et tant qu'un jour il a été tellement énervé qu'il a sorti son couteau et qu'il lui a fendu la lèvre depuis ce temps-là	et tant qu'un jour il a été tellement énervé qu'il a sorti son couteau et qu'il lui a fendu la lèvre depuis ce temps-là	[11399, 7081, 2627, 37371, 6480, 5521, 37824, 11351, 6480, 5568, 12272, 3237, 11399, 11351, 6480, 6481, 8476, 2953, 7077, 22631, 7095]	et pendant un jour il beaucoup déranger que il sortir son couteau et que il lui le lèvres depuis époque celui-là
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-57	et petit à petit les plats ont défilé comme ça accompagnés de pain	et petit à petit les plats ont défilé comme ça accompagnés de pain	[11399, 4676, 9839, 8477, 4685, 5431, 12313, 6906, 37485, 7074, 2494]	et doucement passé les lisse commencer comme celle-là emmener de pain
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-26	oh et moi qui vis à bagdad	oh et moi qui vis à bagdad	[11399, 6632, 11351, 6564, 7041, 2704]	et me que voir à ville
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-132	et cet homme est devenu barbier	et cet homme est devenu barbier	[11399, 9839, 7091, 4665, 2850]	et passé cet homme salon_de_coiffure
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-82	et le maître de maison a levé la tête	et le maître de maison a levé la tête	[11399, 9839, 8476, 2457, 7074, 2317, 36073, 8476, 2673]	et passé le maître de maison lever le tête
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-48	regarde-moi ce serviteur n'est-il pas beau	regarde-moi ce serviteur n'est-il pas beau	[6564, 6632, 7095, 17018, 36480, 6480, 5526, 11194, 3417]	voir me celui-là corps_de_dos être il non beau !
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-33	et là personne est venu	et là personne est venu	[11399, 5375, 9839, 34560, 32669]	et là passé personne venir
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-100	et le mendiant s'est retrouvé à nouveau mendiant	et le mendiant s'est retrouvé à nouveau mendiant	[11399, 9839, 8476, 4723, 24773, 37163, 4723]	et passé le indigent retrouver une_autre_fois indigent
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-50	il a du mal à le soulever de ses deux mains	il a du mal à le soulever de ses deux mains	[6480, 7074, 30620, 7041, 8476, 36073, 7074, 12276, 2628, 9830]	il de avoir_mal à le lever de ses deux mains
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-5	et parfois les jours se passaient bien parfois	et parfois les jours se passaient bien parfois	[11399, 27564, 9839, 8477, 7022, 31999, 5397, 27564]	et épisodiquement passé les journée passer heureusement épisodiquement
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-4	et j'allais de porte en porte en demandant une nourriture ou au mieux un gîte pour la nuit	et j'allais de porte en porte en demandant une nourriture ou au mieux un gîte pour la nuit	[11399, 9839, 6632, 8142, 7074, 3244, 11709, 3244, 11709, 9840, 8474, 4610, 11317, 11709, 11705, 2627, 28225, 7194, 8476, 26997]	et passé me aller de porte au porte au demander une nourriture ou au améliorer un gîte pour le nuit
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-17	je me suis j'ai dit maître maître de cette maison	je me suis j'ai dit maître maître de cette maison	[9839, 6632, 36480, 6632, 9693, 2457, 7074, 8476, 2317]	passé me être me dire maître de le maison
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-102	alors il s'est mis à errer dans les rues sans but précis	alors il s'est mis à errer dans les rues sans but précis	[9839, 6480, 6989, 7041, 7034, 8477, 2299, 7813, 6007]	passé il mettre à dans les rue sans but_inscrit
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-130	un jour il y a une caravane qui est passée qui a récupéré cet homme	un jour il y a une caravane qui est passée qui a récupéré cet homme	[2627, 37371, 9001, 8474, 38741, 9839, 11351, 31999, 11351, 9026, 7091, 4665]	un jour il_y_a une caravane passé que passer que rendre cet homme
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-35	et le mendiant a regardé l'homme	et le mendiant a regardé l'homme	[11399, 9839, 8476, 4723, 6564, 8476, 4665]	et passé le indigent voir le homme
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-80	et au bout d'un moment le mendiant s'est levé tout titubant	et au bout d'un moment le mendiant s'est levé tout titubant	[11399, 11709, 32906, 7074, 2627, 22633, 9839, 8476, 4723, 6549, 5596]	et au bout de un instant passé le indigent se_lever tout
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-2	eh bien écoute il y a bien longtemps alors que je n'exerçais pas encore le métier de barbier	eh bien écoute il y a bien longtemps alors que je n'exerçais pas encore le métier de barbier	[5397, 6572, 9001, 5397, 37678, 11377, 9839, 6632, 32751, 5526, 37163, 8476, 7795, 7074, 2850]	heureusement entendre il_y_a heureusement longtemps alors_que passé me fabriquer non une_autre_fois le métier de salon_de_coiffure
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-20	il a dit oh	il a dit oh	[9839, 6480, 9693]	passé il dire
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-81	il s'est rapproché près du maître de maison et lui a donné un coup derrière la tête	il s'est rapproché près du maître de maison et lui a donné un coup derrière la tête	[9839, 6480, 6879, 5367, 2457, 7074, 2317, 11399, 6481, 9000, 5443, 8476, 2673]	passé il approcher à_côté_de maître de maison et lui donner_un_coup derrière le tête
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-117	et ce bédouin avait une femme	et ce bédouin avait une femme	[11399, 9839, 7095, 32761, 8474, 24621]	et passé celui-là avoir une femme
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-76	et il a demandé une autre carafe	et il a demandé une autre carafe	[11399, 9839, 6480, 9840, 8474, 17054, 37689]	et passé il demander une autre carafe
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-119	elle tournait plus particulièrement autour du barbier de lèvre-coupée	elle tournait plus particulièrement autour du barbier de lèvre-coupée	[9839, 7028, 6006, 5508, 5376, 7074, 2850, 7074, 2944, 26310]	passé elle tourner plus_ alentour de salon_de_coiffure de langue pensée
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-45	il s'est assis dessus en face de lui le maître de maison a dit	il s'est assis dessus en face de lui le maître de maison a dit	[9839, 6480, 36480, 10177, 5451, 27365, 7074, 6481, 8476, 2457, 7074, 2317, 9693]	passé il être s'asseoir sur en_face de lui le maître de maison dire
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-44	l'homme a regardé par terre une dalle froide	l'homme a regardé par terre une dalle froide	[9839, 8476, 4665, 6564, 7212, 3160, 8474, 6054, 35589]	passé le homme voir par terre une carreau froid
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-46	alors écoute nous allons commencer par ben	alors écoute nous allons commencer par ben	[6572, 9829, 31672, 5431, 7212]	entendre prochain nous commencer par
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-129	il a continué son chemin	il a continué son chemin	[9839, 6480, 24998, 12272, 6955]	passé il continuer son chemin
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-112	je n'ai rien je ne peux pas me racheter	je n'ai rien je ne peux pas me racheter	[6632, 32761, 29839, 6632, 35949, 5526, 9014]	me avoir rien me pouvoir non transaction
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-109	vas-tu t'acheter esclave	vas-tu t'acheter esclave	[8142, 6625, 6457, 3417]	aller toi acheter !
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-87	alors il a dit cela fait bien longtemps	alors il a dit cela fait bien longtemps	[9839, 6480, 9693, 6906, 6190, 5397, 37678]	passé il dire celle-là faire heureusement longtemps
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-16	respectueusement je me suis agenouillé	respectueusement je me suis agenouillé	[9839, 6632, 36492]	passé me poser_un_genou_à_terre
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-30	mais lève-toi mon ami lève-toi tu vas manger	mais lève-toi mon ami lève-toi tu vas manger	[11377, 36073, 6625, 12264, 8487, 36073, 6625, 9829, 6625, 38413]	alors_que lever toi mon ami lever toi prochain toi manger
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-22	non non je n'ai pas mangé	non non je n'ai pas mangé	[5525, 9839, 6632, 38413, 5526]	non passé me manger non
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-15	il y avait là un homme d'allure noble	il y avait là un homme d'allure noble	[9001, 5375, 2627, 4665, 7074, 8247]	il_y_a là un homme de vitesse
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-34	et le maître de maison a dit mais lave-toi les mains lave-toi les mains mon ami voyons lave-toi les mains puis mangeons	et le maître de maison a dit mais lave-toi les mains lave-toi les mains mon ami voyons lave-toi les mains puis mangeons	[11399, 9839, 8476, 2457, 7074, 2317, 9693, 11377, 8977, 6625, 8477, 9830, 8977, 6625, 8477, 9830, 12264, 8487, 6564, 8977, 6625, 8477, 9830, 38413]	et passé le maître de maison dire alors_que laver toi les mains laver toi les mains mon ami voir laver toi les mains manger
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-116	l'homme le barbier et puis chaque jour c'était pareil	l'homme le barbier et puis chaque jour c'était pareil	[8476, 4665, 8476, 2850, 5596, 37371, 9839, 7095, 36480, 32392]	le homme le salon_de_coiffure tout jour passé celui-là être pareil
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-118	et la femme elle tournait autour des prisonniers	et la femme elle tournait autour des prisonniers	[11399, 8476, 24621, 9839, 7028, 6006, 5376, 7074, 4725]	et le femme passé elle tourner alentour de prisonnier
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-65	puis plus j'ai le ventre plein	puis plus j'ai le ventre plein	[5508, 6632, 32761, 8476, 2786, 26176]	plus_ me avoir le ventre plein
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-18	pourrais-je avoir à manger l'homme	pourrais-je avoir à manger l'homme	[35949, 6632, 32761, 7041, 38413, 8476, 4665, 3417]	pouvoir me avoir à manger le homme !
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-12	ils m'ont dit mais vas le voir	ils m'ont dit mais vas le voir	[9839, 7032, 6632, 9693, 11377, 8142, 8476, 6564]	passé ils me dire alors_que aller le voir
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-27	ah moi qui vis à bagdad	ah moi qui vis à bagdad	[6632, 11351, 6564, 7041, 2704]	me que voir à ville
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-14	alors j'ai avancé je suis arrivé dans une cour intérieure	alors j'ai avancé je suis arrivé dans une cour intérieure	[9839, 6632, 2432, 6632, 16807, 7034, 8474, 33065, 5439]	passé me partir me arrive dans une cour dedans
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-88	je me livre à ce petit jeu	je me livre à ce petit jeu	[6632, 2450, 7041, 7095, 4716, 9810]	me livre à celui-là petit jeu
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-99	le sultan a confisqué tous ses biens parce qu'il n'avait pas d'héritier	le sultan a confisqué tous ses biens parce qu'il n'avait pas d'héritier	[9839, 8476, 17324, 5596, 12276, 11185, 6480, 32761, 5526, 7074]	passé le sultan tout ses bien_que il avoir non de
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-10	et les serviteurs n'ont rien répondu	et les serviteurs n'ont rien répondu	[11399, 9839, 8477, 6459, 29839, 9031]	et passé les automobiliste rien répondre_à_l’oral
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-53	et le mendiant s'est régalé avec des morceaux de poulet imaginaire	et le mendiant s'est régalé avec des morceaux de poulet imaginaire	[11399, 9839, 8476, 4723, 26533, 7064, 5374, 3369, 7074, 4952, 38003]	et passé le indigent cueillette avec plusieurs éclat de poulet imagination
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-74	et le maître de maison a commencé à servir une fausse coupe et il a tendue à l'homme qui l'a saisie qui l'a remercié et qui a commencé à boire rien du tout	et le maître de maison a commencé à servir une fausse coupe et il a tendue à l'homme qui l'a saisie qui l'a remercié et qui a commencé à boire rien du tout	[11399, 9839, 8476, 2457, 7074, 2317, 5431, 7041, 7247, 8474, 22198, 3162, 11399, 6480, 27408, 7041, 8476, 4665, 11351, 8476, 32773, 11351, 8476, 8129, 11399, 11351, 5431, 7041, 6061, 29839, 7074, 5596]	et passé le maître de maison commencer à servir une faux gagner_un_prix et il caresser à le homme que le saisir que le merci et que commencer à boire rien de tout
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-68	mais maintenant nous allons boire fais-moi le plaisir de boire	mais maintenant nous allons boire fais-moi le plaisir de boire	[11377, 32747, 9829, 31672, 6061, 6190, 6632, 8476, 35563, 7074, 6061]	alors_que maintenant prochain nous boire faire me le joie de boire
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-43	et puis le maître de maison lui a dit installe-toi sur ce beau coussin moelleux	et puis le maître de maison lui a dit installe-toi sur ce beau coussin moelleux	[9839, 8476, 2457, 7074, 2317, 6481, 9693, 2872, 6625, 5451, 7095, 11194, 3264]	passé le maître de maison lui dire mettre_dans_l'ordre toi sur celui-là beau coussin
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-124	mais un beau jour la femme elle s'est tellement approchée qu'il n'a pas eu le temps de se reculer	mais un beau jour la femme elle s'est tellement approchée qu'il n'a pas eu le temps de se reculer	[11377, 2627, 11194, 37371, 9839, 8476, 24621, 7028, 5521, 6879, 11351, 6480, 5526, 17058, 7074, 38219]	alors_que un beau jour passé le femme elle beaucoup approcher que il non avoir_le_temps de reculer
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-95	il s'occupait de ses affaires	il s'occupait de ses affaires	[9839, 6480, 24863, 7074, 12276, 6457]	passé il être_attentif de ses acheter
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-66	alors l'hôte de la maison a dit oh mais attends	alors l'hôte de la maison a dit oh mais attends	[9839, 8476, 11552, 7074, 8476, 2317, 9693, 11377, 28677]	passé le épouse de le maison dire alors_que attendre
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-70	je je ne peux pas boire	je je ne peux pas boire	[6632, 35949, 6061, 5526]	me pouvoir boire non
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-120	l'homme lui il essayait de la fuir	l'homme lui il essayait de la fuir	[9839, 8476, 4665, 6481, 6480, 26144, 7074, 8476, 38017]	passé le homme lui il essayer de le s'échapper
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-38	et il s'est lavé les mains également avec rien du tout	et il s'est lavé les mains également avec rien du tout	[11399, 9839, 6480, 37409, 3423, 7064, 29839, 7074, 5596]	et passé il lavage_des_mains égal avec rien de tout
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-55	il faisait marcher ses mâchoires	il faisait marcher ses mâchoires	[6480, 6190, 6044, 12276, 37473]	il faire marcher ses mâchoire
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-21	mais tu tu n'as pas mangé	mais tu tu n'as pas mangé	[11377, 9839, 6625, 38413, 5526]	alors_que passé toi manger non
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-125	et à ce moment-là le maître le bédouin passait quand il a aperçu sa femme juste à côté de son prisonnier	et à ce moment-là le maître le bédouin passait quand il a aperçu sa femme juste à côté de son prisonnier	[11399, 7041, 22633, 7095, 8476, 2457, 9839, 8476, 31999, 32874, 6480, 36041, 12272, 24621, 21381, 5367, 12272, 4725]	et à instant celui-là le maître passé le passer quand il apercevoir son femme juste à_côté_de son prisonnier
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-36	et il s'est dit visiblement il aime bien rire	et il s'est dit visiblement il aime bien rire	[11399, 9839, 6480, 9693, 6480, 37721, 5397, 13354]	et passé il dire il aimer heureusement rire
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-60	et au bout d'un moment le mendiant a regardé son hôte	et au bout d'un moment le mendiant a regardé son hôte	[11399, 11709, 32906, 7074, 2627, 22633, 9839, 8476, 4723, 6564, 12272]	et au bout de un instant passé le indigent voir son
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-94	et ce mendiant est devenu l'ami du maître de maison	et ce mendiant est devenu l'ami du maître de maison	[11399, 9839, 7095, 4723, 8476, 8487, 7074, 2457, 7074, 2317]	et passé celui-là indigent le ami de maître de maison
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-90	et on s'est vraiment lavé les mains	et on s'est vraiment lavé les mains	[11399, 9839, 31672, 37409]	et passé nous lavage_des_mains
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-1	oh commandeur des croyants	oh commandeur des croyants	[7074, 27059]	de religieux
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-93	et on a vraiment mangé	et on a vraiment mangé	[11399, 9839, 31672, 38413]	et passé nous manger
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-52	régale-toi mon ami c'est pour toi	régale-toi mon ami c'est pour toi	[37779, 6625, 12264, 8487, 7095, 36480, 7194, 6625, 3417]	quelqu'un toi mon ami celui-là être pour toi !
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-122	si jamais mon maître l'aperçoit près de moi il va se faire des idées	si jamais mon maître l'aperçoit près de moi il va se faire des idées	[28359, 5527, 12264, 2457, 8476, 36041, 5367, 6632, 6480, 8142, 6190, 5374, 6531]	si jamais mon maître le apercevoir à_côté_de me il aller faire plusieurs inventer
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-113	et l'homme le frappait tant	et l'homme le frappait tant	[11399, 9839, 8476, 4665, 8476, 4714, 7168]	et passé le homme le frapper nombreux
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-131	et qui l'a ramené jusqu'à bagdad	et qui l'a ramené jusqu'à bagdad	[11399, 9839, 11351, 8476, 37223, 7771, 2704]	et passé que le ramener jusqu’à ville
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-110	et le mendiant le regardait et lui disait	et le mendiant le regardait et lui disait	[11399, 9839, 8476, 4723, 8476, 6564, 11399, 6481, 9693]	et passé le indigent le voir et lui dire
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-105	et un jour au cours d'un de ses voyages sa caravane s'est fait attaquer par des bédouins	et un jour au cours d'un de ses voyages sa caravane s'est fait attaquer par des bédouins	[11399, 2627, 37371, 7081, 7074, 2627, 7074, 12276, 11393, 12272, 38741, 6190, 4714, 7212, 5374]	et un jour pendant de un de ses itinéraire son caravane faire frapper par plusieurs
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-56	et devant lui l'hôte de la maison faisait de même	et devant lui l'hôte de la maison faisait de même	[11399, 5438, 6481, 9839, 8476, 11552, 7074, 8476, 2317, 6190, 32392]	et devant lui passé le épouse de le maison faire pareil
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-32	et le maître de maison a dit qu'on apporte tout de suite tout de suite qu'on apporte une bassine avec de l'eau	et le maître de maison a dit qu'on apporte tout de suite tout de suite qu'on apporte une bassine avec de l'eau	[11399, 9839, 8476, 2457, 7074, 2317, 9693, 11351, 31672, 7280, 32747, 11351, 31672, 7280, 8474, 35353, 7064, 7074, 8476, 6889]	et passé le maître de maison dire que nous apporter maintenant que nous apporter une bassine avec de le eau
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-69	et le mendiant a dit non non	et le mendiant a dit non non	[11399, 9839, 8476, 4723, 5525]	et passé le indigent non
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-111	mais je n'ai que ma pauvreté qui m'appartienne	mais je n'ai que ma pauvreté qui m'appartienne	[11377, 6632, 32761, 11351, 12264, 15521, 11351, 6632]	alors_que me avoir que mon pauvreté que me
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-75	et le maître de maison a bu rien du tout	et le maître de maison a bu rien du tout	[11399, 9839, 8476, 2457, 7074, 2317, 6061, 29839, 7074, 5596]	et passé le maître de maison boire rien de tout
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-73	et on a apporté un vin imaginaire et personne ne l'a apporté d'ailleurs	et on a apporté un vin imaginaire et personne ne l'a apporté d'ailleurs	[11399, 9839, 31672, 7280, 2627, 2614, 38003, 11399, 34560, 8476, 7280]	et passé nous apporter un vin imagination et personne le apporter
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-72	et l'hôte de la maison a dit allons tu ne vas pas me fâcher qu'on apporte le vin	et l'hôte de la maison a dit allons tu ne vas pas me fâcher qu'on apporte le vin	[11399, 9839, 8476, 11552, 7074, 8476, 2317, 9693, 8142, 6625, 8142, 5526, 6632, 11351, 31672, 7280, 8476, 2614]	et passé le épouse de le maison dire aller toi aller non me que nous apporter le vin
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-24	je n'ai pas mangé depuis hier	je n'ai pas mangé depuis hier	[9839, 6632, 38413, 5526, 7077, 38279]	passé me manger non depuis hier
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-7	et un matin j'ai frappé à la porte d'une grande demeure presqu'un palais	et un matin j'ai frappé à la porte d'une grande demeure presqu'un palais	[11399, 2627, 25704, 9839, 6632, 4687, 7074, 8474, 4658, 6964, 2627, 25289]	et un matin passé me toquer de une grand demeure un palais
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-47	tiens du poulet du poulet à la pistache qu'on apporte le poulet à la pistache	tiens du poulet du poulet à la pistache qu'on apporte le poulet à la pistache	[32761, 7074, 4952, 7074, 4952, 7041, 8476, 8322, 11351, 31672, 7280, 8476, 4952, 7041, 8476, 8322, 3417]	avoir de poulet de poulet à le pistache que nous apporter le poulet à le pistache !
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-123	et là dieu seul sait ce que j'aurais en récompense	et là dieu seul sait ce que j'aurais en récompense	[11399, 5375, 7095, 11351, 6632, 32761, 11709, 26845]	et là celui-là que me avoir au récompense
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-39	et puis le maître de maison a dit qu'on m'apporte une serviette une serviette ah merci pour la serviette	et puis le maître de maison a dit qu'on m'apporte une serviette une serviette ah merci pour la serviette	[9839, 8476, 2457, 7074, 2317, 9693, 11351, 31672, 6632, 7280, 8474, 2569, 8474, 2569, 8128, 7194, 8476, 2569]	passé le maître de maison dire que nous me apporter une serviette une serviette merci pour le serviette
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-51	regarde comme il pose juste devant toi	regarde comme il pose juste devant toi	[6564, 12313, 6480, 25347, 21381, 5438, 6625, 3417]	voir comme il poser juste devant toi !
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-92	puis des fruits secs puis des plats du poisson de la viande des desserts	puis des fruits secs puis des plats du poisson de la viande des desserts	[7074, 20105, 7074, 4685, 7074, 2520, 7074, 8476, 6961, 7074, 7216]	de fruit_sec de lisse de poisson de le viande de dessert
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-59	on a vu des légumes on a vu de la viande du poisson	on a vu des légumes on a vu de la viande du poisson	[9839, 31672, 6564, 5374, 29131, 31672, 6564, 7074, 8476, 6961, 7074, 2520]	passé nous voir plusieurs légumes nous voir de le viande de poisson
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-85	et là le mendiant a dit oh maître je crois que c'est le vin qui m'a rendu saoûl	et là le mendiant a dit oh maître je crois que c'est le vin qui m'a rendu saoûl	[11399, 5375, 9839, 8476, 4723, 9693, 2457, 6632, 38796, 11351, 7095, 36480, 8476, 2614, 11351, 6632, 9026]	et là passé le indigent dire maître me penser que celui-là être le vin que me rendre
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-42	et le mendiant s'est essuyé avec une serviette imaginaire	et le mendiant s'est essuyé avec une serviette imaginaire	[11399, 9839, 8476, 4723, 36480, 38409, 7064, 8474, 2569, 38003]	et passé le indigent être s'essuyer avec une serviette imagination
