id_picto	lemma	synsets	sense_keys
2627	un	['00916568-a', '02193977-s', '06820056-n', '13603216-n', '13764713-n']	['odd%3:00:00::', 'uneven%3:00:04::', 'ane%5:00:00:cardinal:00', '1%5:00:00:cardinal:00', 'one%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'numeral%1:10:00::', 'number%1:10:01::', 'number%1:23:00::', 'one%1:23:00::', 'i%1:23:00::', 'unity%1:23:00::', '1%1:23:00::', 'ace%1:23:00::', 'single%1:23:00::']
8618	fou	['02580838-a', '02082451-s', '01842483-s', '00441663-s']	['foolish%3:00:00::', 'sick%5:00:00:insane:00', 'mad%5:00:00:insane:00', 'demented%5:00:00:insane:00', 'unhinged%5:00:00:insane:00', 'brainsick%5:00:00:insane:00', 'unbalanced%5:00:00:insane:00', 'disturbed%5:00:00:insane:00', 'crazy%5:00:00:insane:00', 'softheaded%5:00:00:impractical:00', 'half-baked%5:00:00:impractical:00', 'crazy%5:00:00:impractical:00', 'screwball%5:00:00:impractical:00', 'anserine%5:00:00:stupid:00', 'jerky%5:00:00:stupid:00', 'goosey%5:00:00:stupid:00', 'gooselike%5:00:00:stupid:00', 'dopy%5:00:01:stupid:00', 'foolish%5:00:00:stupid:00', 'dopey%5:00:01:stupid:00', 'goosy%5:00:00:stupid:00']
6572	entendre	['02175483-v', '02174146-v']	['take_heed%2:39:00::', 'listen%2:39:01::', 'hear%2:39:05::', 'hear%2:39:00::']
7125	vers	['\\N']	[]
8979	faire peur	['01783082-v']	['fright%2:37:00::', 'frighten%2:37:00::', 'affright%2:37:00::', 'scare%2:37:00::']
36682	applaudir	['00034108-v', '00863593-v']	['clap%2:29:00::', 'spat%2:29:00::', 'applaud%2:32:01::', 'clap%2:32:00::', 'spat%2:32:01::', 'acclaim%2:32:01::']
6552	crier	['00915018-v']	['hollo%2:32:00::', 'scream%2:32:01::', 'shout_out%2:32:00::', 'squall%2:32:00::', 'holler%2:32:05::', 'call%2:32:09::', 'yell%2:32:01::', 'cry%2:32:01::', 'shout%2:32:01::']
5596	tout	['00008423-r', '00523527-s']	['altogether%4:02:04::', 'wholly%4:02:00::', 'completely%4:02:04::', 'right%4:02:07::', 'all%4:02:00::', 'entirely%4:02:00::', 'whole%4:02:00::', 'totally%4:02:00::', 'all%5:00:00:complete:00']
6557	mardi	['15189152-n']	['tues%1:28:00::', 'tuesday%1:28:00::']
6549	se lever	['00018151-v']	['arise%2:29:00::', 'rise%2:29:08::', 'turn_out%2:29:00::', 'get_up%2:29:00::', 'uprise%2:29:00::']
38413	manger	[]	[]
2494	pain	['07695101-n', '07703126-n', '07703214-n', '07702956-n']	['breadstuff%1:13:01::', 'staff_of_life%1:13:00::', 'bread%1:13:00::', 'baguette%1:13:00::', 'baguet%1:13:00::', 'french_bread%1:13:00::', 'light_bread%1:13:00::', 'white_bread%1:13:00::']
34777	laver le visage	['00036355-v']	['lave%2:29:00::', 'wash%2:29:00::']
8977	laver	['00036355-v', '01539713-v']	['lave%2:29:00::', 'wash%2:29:00::', 'hand-wash%2:35:00::', 'handwash%2:35:00::']
16378	président	['10486745-n']	['president%1:18:00::']
6889	eau	['07951744-n', '14869913-n']	['water%1:13:00::', 'water%1:27:00::', 'h2o%1:27:00::']
22106	se sécher	['00218901-v']	['dry%2:30:01::', 'dry_out%2:30:05::']
6627	habiller	['00046251-v', '00047662-v']	['get_dressed%2:29:00::', 'dress%2:29:00::', 'tog%2:29:00::', 'dress%2:29:01::', 'clothe%2:29:00::', 'raiment%2:29:00::', 'apparel%2:29:00::', 'enclothe%2:29:00::', 'garb%2:29:00::', 'garment%2:29:00::', 'fit_out%2:29:00::', 'habilitate%2:29:00::']
8142	aller	['01839438-v']	['travel%2:38:00::', 'move%2:38:03::', 'locomote%2:38:00::', 'go%2:38:00::']
8197	puits	['04579630-n']	['well%1:06:00::']
38586	village	[]	[]
38805	remplir	[]	[]
35353	bassine	['13916387-n']	['trough%1:25:00::', 'bowl%1:25:00::']
16437	se baisser	['01548096-v', '01869189-v']	['squat%2:35:00::', 'scrunch%2:35:02::', 'crouch%2:35:00::', 'hunker_down%2:35:00::', 'hunker%2:35:00::', 'scrunch_up%2:35:01::', 'duck%2:38:00::']
3402	tissu	['03314753-n']	['material%1:06:00::', 'fabric%1:06:00::', 'textile%1:06:00::', 'cloth%1:06:00::']
6553	porter	['02081903-v', '02290237-v']	['take%2:38:10::', 'bring%2:38:00::', 'convey%2:38:00::', 'stockpile%2:40:00::', 'stock%2:40:00::', 'carry%2:40:00::']
5451	sur	['00080519-r']	['higher_up%4:02:00::', 'in_a_higher_place%4:02:00::', 'to_a_higher_place%4:02:00::', 'above%4:02:01::']
2684	visage	['05608392-n']	['face%1:08:00::', 'human_face%1:08:01::']
2317	maison	['08094856-n', '03549540-n']	['family%1:14:02::', 'household%1:14:00::', 'home%1:14:00::', 'house%1:14:05::', 'menage%1:14:00::', 'house%1:06:00::']
7298	verser	['02074224-v']	['decant%2:38:00::', 'pour%2:38:04::', 'pour_out%2:38:00::']
32747	maintenant	['00049758-r', '15144861-n', '00050223-r', '00049013-r']	['now%4:02:04::', 'at_present%4:02:00::', 'now%1:28:00::', 'now%4:02:06::', 'nowadays%4:02:00::', 'now%4:02:00::', 'today%4:02:01::']
3051	sapin	['11641124-n', '11641011-n']	['true_fir%1:20:00::', 'fir%1:20:00::', 'fir_tree%1:20:00::', 'abies%1:20:00::', 'genus_abies%1:20:00::']
4887	vert	['00377031-s']	['dark-green%5:00:00:chromatic:00', 'green%5:00:00:chromatic:00', 'greenish%5:00:00:chromatic:00', 'light-green%5:00:00:chromatic:00']
2886	bois	['00393873-a']	['black%3:00:01::']
10234	gâteau	['07647646-n']	['sponge_cake%1:13:00::']
7194	pour	['\\N']	[]
6625	toi	['\\N']	[]
12281	ton	['\\N']	[]
2988	noisette	['07768353-n', '12309340-n']	['dried_fruit%1:13:00::', 'hazelnut_tree%1:20:00::', 'hazel%1:20:01::', 'hazelnut%1:20:00::']
2880	noix	['07787188-n']	['walnut%1:13:00::']
2334	chocolat	['07617570-n', '07619120-n']	['chocolate%1:13:00::', 'chocolate_bar%1:13:00::']
11309	gui	['12760092-n']	['mistletoe%1:20:01::', 'viscum_album%1:20:00::', 'old_world_mistletoe%1:20:00::']
3052	houx	['12777217-n']	['holly%1:20:00::']
5584	oui	['07218560-n']	['yes%1:10:00::']
11627	bon appétit	['\\N']	[]
6975	enfants	['10305010-n']	['boy%1:18:00::', 'male_child%1:18:00::']
2351	lapin	['02326697-n']	['cony%1:05:01::', 'rabbit%1:05:00::', 'coney%1:05:01::']
5441	vouloir	['00905052-v', '01830126-v', '01191258-v', '00905166-v', '00711034-v', '01829179-v']	['wish%2:32:01::', 'feel_like%2:37:00::', 'need%2:34:00::', 'require%2:34:00::', 'want%2:34:00::', 'wish%2:32:02::', 'want%2:31:01::', 'want%2:37:00::', 'desire%2:37:00::']
2619	carotte	['12958148-n', '12958438-n']	['carrot%1:20:00::', 'cultivated_carrot%1:20:00::', 'daucus_carota_sativa%1:20:00::', 'carrot%1:20:02::']
2623	renard	['02120985-n']	['fox%1:05:00::']
2403	poule	['01795281-n']	['hen%1:05:01::', 'biddy%1:05:02::']
12285	votre	['\\N']	[]
3113	herbe	['12122650-n', '07817067-n']	['grass%1:20:00::', 'pasture%1:13:00::', 'eatage%1:13:00::', 'grass%1:13:00::', 'forage%1:13:00::', 'pasturage%1:13:00::']
2945	hibou	['01623768-n', '01628203-n']	['owl%1:05:00::', 'bird_of_minerva%1:05:00::', 'hooter%1:05:00::', 'bird_of_night%1:05:00::', 'barn_owl%1:05:00::', 'tyto_alba%1:05:00::']
2933	lune	['09381255-n', '11505375-n']	['moon%1:17:01::', 'moonshine%1:19:00::', 'moonlight%1:19:00::', 'moon%1:19:00::']
3139	père noël	['10570230-n']	['father_christmas%1:18:00::', 'st._nick%1:18:00::', 'santa%1:18:00::', 'santa_claus%1:18:00::', 'saint_nick%1:18:00::', 'saint_nicholas%1:18:01::', 'kriss_kringle%1:18:00::']
16807	arrive	['02024442-v', '02009962-v']	['make%2:38:00::', 'attain%2:38:01::', 'arrive_at%2:38:00::', 'gain%2:38:00::', 'hit%2:38:00::', 'reach%2:38:01::', 'come%2:38:04::', 'get%2:38:00::', 'arrive%2:38:00::']
2614	vin	['07907701-n', '07908487-n', '04599016-n']	['vino%1:13:00::', 'wine%1:13:00::', 'red_wine%1:13:00::', 'wine_bottle%1:06:00::']
6190	faire	['00407168-v']	['fix%2:30:03::', 'gear_up%2:30:00::', 'prepare%2:30:00::', 'set_up%2:30:02::', 'set%2:30:09::', 'ready%2:30:00::']
5975	couper	['01555301-v', '01613738-v']	['cut%2:35:00::', 'cut%2:35:10::']
3247	raisin	['07774656-n', '07976557-n']	['grape%1:13:00::', 'cluster%1:14:00::', 'bunch%1:14:00::', 'clump%1:14:00::', 'clustering%1:14:00::']
6632	je	['\\N']	[]
7030	elles	['\\N']	[]
3403	sécateurs	['04023078-n']	['pruning_shears%1:06:00::']
5521	beaucoup	['00059709-r', '00059624-r']	['a_great_deal%4:02:00::', 'lots%4:02:00::', 'a_lot%4:02:00::', 'a_good_deal%4:02:00::', 'very_much%4:02:01::', 'much%4:02:04::', 'much%4:02:00::']
7033	eux	['\\N']	[]
11709	en	['\\N']	[]
2349	goûter	['01159300-v', '01170802-v']	['take_in%2:34:00::', 'have%2:34:00::', 'consume%2:34:00::', 'take%2:34:00::', 'ingest%2:34:00::', 'eat%2:34:00::']
2356	verre à pied	['03443167-n']	['glass%1:06:00::', 'drinking_glass%1:06:00::']
11316	nouveau	['01645077-a', '02595137-a']	['new%3:00:00::', 'new%3:00:09::']
9001	il y a	['02609706-v']	['be%2:42:00::', 'exist%2:42:00::']
10148	prendre	['01210022-v', '01980103-v', '01216829-v']	['pick_up%2:35:01::', 'gather_up%2:38:00::', 'lift_up%2:38:00::', 'pick_up%2:38:01::', 'get_hold_of%2:35:00::', 'take%2:35:00::']
35597	chaleur	['05733472-n', '05023355-n']	['heat%1:09:00::', 'warmth%1:09:00::', 'high_temperature%1:07:00::', 'hotness%1:07:00::', 'heat%1:07:01::']
7252	soleil	['11505767-n', '09473312-n']	['sunshine%1:19:00::', 'sunlight%1:19:00::', 'sun%1:19:00::', 'sun%1:17:00::']
26997	nuit	['15192074-n', '15192396-n', '15192521-n', '15180707-n']	['nighttime%1:28:00::', 'night%1:28:00::', 'dark%1:28:00::', 'night%1:28:03::', 'night%1:28:04::', 'night%1:28:02::']
7034	dans	['\\N']	[]
6934	tonneau	['02798192-n']	['barrel%1:06:00::', 'cask%1:06:00::']
9840	demander	['00899241-v', '00786670-v', '01020074-v']	['ask%2:32:04::', 'inquire%2:32:01::', 'enquire%2:32:00::', 'query%2:32:00::', 'question%2:32:00::', 'demand%2:32:06::']
31967	informations	['03847186-n', '10225604-n', '10425439-n', '08081359-n']	['office%1:06:00::', 'business_office%1:06:00::', 'source%1:18:01::', 'informant%1:18:00::', 'patient%1:18:00::', 'defense_lawyers%1:14:00::', 'defence%1:14:00::', 'defense%1:14:00::', 'defense_team%1:14:00::']
34377	respirer	['00001740-v']	['breathe%2:29:00::', 'suspire%2:29:03::', 'take_a_breath%2:29:00::', 'respire%2:29:00::']
2714	compter	['00950103-v', '00949889-v']	['count%2:32:00::', 'numerate%2:32:00::', 'enumerate%2:32:01::', 'number%2:32:00::', 'count%2:32:01::']
2629	trois	['02194219-s', '13603216-n', '13766184-n']	['three%5:00:00:cardinal:00', '3%5:00:00:cardinal:00', 'iii%5:00:00:cardinal:00', 'number%1:23:00::', 'three%1:23:00::', 'trey%1:23:00::', 'ternary%1:23:00::', 'ternion%1:23:00::', 'terzetto%1:23:00::', 'deuce-ace%1:23:00::', 'trine%1:23:00::', '3%1:23:00::', 'trinity%1:23:00::', 'troika%1:23:00::', 'tierce%1:23:01::', 'leash%1:23:00::', 'tercet%1:23:00::', 'triad%1:23:00::', 'iii%1:23:00::', 'threesome%1:23:00::', 'triplet%1:23:00::', 'trio%1:23:00::']
28677	attendre	['02644022-v']	['wait%2:42:00::']
37374	minute	['15259561-n']	['min%1:28:00::', 'minute%1:28:00::']
7280	apporter	['02081903-v', '02242564-v']	['take%2:38:10::', 'bring%2:38:00::', 'convey%2:38:00::', 'put_up%2:40:01::', 'contribute%2:40:02::']
29971	attestation de handicap	['06483016-n', '14571935-n']	['credentials%1:10:00::', 'credential%1:10:00::', 'certificate%1:10:00::', 'certification%1:10:01::', 'handicap%1:26:00::', 'disability%1:26:00::', 'disablement%1:26:00::', 'impairment%1:26:00::']
29714	rentrer à la maison	['02008888-v']	['return%2:38:00::']
38476	salle de gym	[]	[]
3082	école	['08293641-n', '04153115-n']	['school%1:14:00::', 'schoolhouse%1:06:00::', 'school%1:06:00::']
38276	aujourd'hui	[]	[]
35589	froid	['05733621-n', '05022301-n']	['cold%1:09:00::', 'coldness%1:09:00::', 'frigidity%1:07:02::', 'coldness%1:07:00::', 'frigidness%1:07:02::', 'cold%1:07:00::', 'low_temperature%1:07:00::']
2826	plage	['09451197-n', '09240137-n']	['coast%1:17:00::', 'seashore%1:17:00::', 'seacoast%1:17:00::', 'sea-coast%1:17:00::', 'beach%1:17:00::']
3074	carnaval	['00512566-n']	['carnival%1:04:00::']
2522	pyjama	['03883150-n']	"['pyjama%1:06:00::', 'pajama%1:06:00::', ""pj's%1:06:00::"", 'jammies%1:06:00::']"
2332	survêtement	['04357983-n']	['suit_of_clothes%1:06:00::', 'suit%1:06:00::']
2309	tee-shirt	['03600807-n']	['tee_shirt%1:06:00::', 't-shirt%1:06:00::', 'jersey%1:06:01::']
13638	short	['04496264-n']	['pair_of_trousers%1:06:00::', 'pant%1:06:00::', 'trousers%1:06:00::']
2242	manteau	['03061006-n', '04195013-n', '03461607-n']	['coat%1:06:00::', 'afghan%1:06:01::', 'sheepskin_coat%1:06:00::', 'overcoat%1:06:00::', 'greatcoat%1:06:00::', 'topcoat%1:06:00::']
2298	chaussettes	['04261887-n']	['sock%1:06:00::']
2270	maillot de bain	['04378650-n']	['bathing_suit%1:06:00::', 'swimsuit%1:06:00::', 'bathing_costume%1:06:00::', 'swimming_costume%1:06:00::', 'swimwear%1:06:00::']
2411	casquette	['02957776-n']	['cap%1:06:00::']
5985	déguisement	['03118308-n']	['costume%1:06:00::']
36883	balance	['02780105-n', '04149040-n']	['balance%1:06:00::', 'scale%1:06:02::', 'weighing_machine%1:06:00::']
3257	saladier	['02884182-n', '02884435-n', '04137340-n', '04137530-n']	['bowl%1:06:00::', 'bowl%1:06:01::', 'salad_bowl%1:06:00::', 'salad_plate%1:06:00::', 'salad_bowl%1:06:01::']
6625	tu	['\\N']	[]
2741	entonnoir	['03408558-n']	['funnel%1:06:01::']
2288	bouteille	['02879899-n']	['bottle%1:06:00::']
16087	emploi	['00583425-n']	['occupation%1:04:00::', 'line%1:04:00::', 'job%1:04:00::', 'business%1:04:00::', 'line_of_work%1:04:00::']
32320	détacher	['01346975-v']	['unfasten%2:35:01::']
3171	y	['06837277-n', '01470615-a', '06841868-n', '06831828-n']	['majuscule%1:10:00::', 'upper-case_letter%1:10:00::', 'capital_letter%1:10:00::', 'capital%1:10:00::', 'uppercase%1:10:00::', 'uppercase%3:00:00::', 'letter%1:10:01::', 'alphabetic_character%1:10:00::', 'letter_of_the_alphabet%1:10:00::', 'grapheme%1:10:00::', 'graph%1:10:02::', 'graphic_symbol%1:10:00::', 'character%1:10:00::']
17273	écraser	['01495601-v']	['crush%2:35:01::', 'jam%2:35:03::']
11461	jus	['07939988-n']	['juice%1:13:00::']
12264	mon	['\\N']	[]
23718	papy	['10161911-n', '10396222-n', '01648667-s']	['granddad%1:18:00::', 'grandad%1:18:00::', 'granddaddy%1:18:00::', 'grandpa%1:18:00::', 'gramps%1:18:00::', 'grandfather%1:18:00::', 'senior_citizen%1:18:00::', 'oldster%1:18:00::', 'old_person%1:18:00::', 'golden_ager%1:18:00::', 'older%5:00:00:old:02', 'aged%5:00:01:old:02', 'elderly%5:00:00:old:02', 'senior%5:00:00:old:02']
8476	la	['\\N']	[]
6624	travailler	['02418610-v']	['work%2:41:02::']
6481	lui	['\\N']	[]
22619	comment	['\\N']	[]
5553	printemps	['15261841-n']	['springtime%1:28:00::', 'spring%1:28:00::']
5077	feuille	['13173519-n']	['leafage%1:20:00::', 'leaf%1:20:00::', 'foliage%1:20:00::']
36921	pousse	['00357986-v']	['sprout%2:30:00::', 'spud%2:30:00::', 'pullulate%2:30:00::', 'burgeon_forth%2:30:00::', 'bourgeon%2:30:00::', 'germinate%2:30:00::', 'shoot%2:30:00::']
9142	vignes	['13165571-n']	['grape_vine%1:20:00::', 'grape%1:20:00::', 'grapevine%1:20:00::']
10196	petite	['01397927-s', '01394303-a', '02395180-a']	['smaller%5:00:00:small:00', 'littler%5:00:00:small:00', 'little%3:00:01::', 'small%3:00:00::', 'little%3:00:00::', 'short%3:00:03::']
7105	fleurs	['11689786-n']	['bloom%1:20:00::', 'flower%1:20:02::', 'blossom%1:20:00::']
37360	changer	['02262178-v']	['change%2:40:00::', 'interchange%2:40:00::', 'exchange%2:40:00::']
5604	été	['15262047-n']	['summertime%1:28:00::', 'summer%1:28:00::']
5375	là	['00109919-r']	['there%4:02:00::']
3123	pluie	['11521799-n']	['rain%1:19:00::', 'rainfall%1:19:00::']
37436	risque chimique	['14831008-n', '14565454-n', '14564367-n', '08661788-n']	['chemical%1:27:00::', 'chemical_substance%1:27:00::', 'endangerment%1:26:00::', 'jeopardy%1:26:00::', 'hazard%1:26:00::', 'risk%1:26:00::', 'peril%1:26:00::', 'danger%1:26:00::', 'danger%1:15:00::']
7224	branche	['13184148-n']	['branch%1:20:00::']
4658	grand	['01385012-a', '01398335-a']	['large%3:00:00::', 'big%3:00:01::', 'greater%3:00:00::']
2591	ciseaux	['04155119-n']	['pair_of_scissors%1:06:00::', 'scissors%1:06:00::']
2689	portefeuille	['04555648-n']	['wallet%1:06:00::', 'notecase%1:06:00::', 'billfold%1:06:00::', 'pocketbook%1:06:02::']
32394	différent	['02075123-s', '02072149-a']	['divers%5:00:00:different:00', 'diverse%5:00:02:different:00', 'different%3:00:00::']
2662	blanc	['00394166-a']	['white%3:00:01::']
2808	rouge	['00382159-s']	['crimson%5:00:00:chromatic:00', 'cerise%5:00:00:chromatic:00', 'ruby-red%5:00:00:chromatic:00', 'reddish%5:00:00:chromatic:00', 'scarlet%5:00:00:chromatic:00', 'carmine%5:00:00:chromatic:00', 'blood-red%5:00:00:chromatic:00', 'ruddy%5:00:00:chromatic:00', 'red%5:00:01:chromatic:00', 'cherry%5:00:00:chromatic:00', 'cherry-red%5:00:00:chromatic:00', 'ruby%5:00:00:chromatic:00']
2648	jaune	['00386818-s', '04972838-n']	['xanthous%5:00:00:chromatic:00', 'yellow%5:00:00:chromatic:00', 'yellowish%5:00:00:chromatic:00', 'yellowness%1:07:00::', 'yellow%1:07:00::']
2888	orange	['00379954-s']	['orange%5:00:00:chromatic:00', 'orangish%5:00:00:chromatic:00']
5531	automne	['15261656-n']	['fall%1:28:00::', 'autumn%1:28:00::']
3296	veste	['04229374-n', '03594978-n']	['single-breasted_jacket%1:06:00::', 'jacket%1:06:00::']
2725	seau	['02913195-n']	['pail%1:06:00::', 'bucket%1:06:00::']
27329	fin de semaine	['15195551-n']	['weekend%1:28:00::']
2924	coccinelle	['02168108-n']	['ladybird%1:05:00::', 'ladybird_beetle%1:05:00::', 'ladybeetle%1:05:00::', 'lady_beetle%1:05:00::', 'ladybug%1:05:00::']
8261	fin d'année	['15206888-n']	"[""new_year's_eve%1:28:00::"", 'december_31%1:28:00::']"
2425	fourmis	['02222138-n']	['pismire%1:05:00::', 'emmet%1:05:00::', 'ant%1:05:00::']
8061	escargot	['01947596-n', '01947784-n', '01947031-n']	['garden_snail%1:05:00::', 'brown_snail%1:05:00::', 'helix_aspersa%1:05:00::', 'snail%1:05:00::']
3012	panier	['02805104-n', '04589635-n']	['handbasket%1:06:00::', 'basket%1:06:00::', 'wicker_basket%1:06:00::']
5439	dedans	['00111558-r', '00111276-r']	['inside%4:02:01::', 'within%4:02:00::', 'indoors%4:02:00::', 'inside%4:02:00::']
32404	station essence	['03430002-n']	['petrol_station%1:06:00::', 'filling_station%1:06:00::', 'gas_station%1:06:00::', 'gasoline_station%1:06:00::']
28035	remorque	['04474542-n']	['trailer%1:06:01::']
37064	fin	['02422827-s', '02420960-a']	['fine%5:00:00:thin:01', 'thin%3:00:01::']
7022	journée	['15190004-n']	['day%1:28:02::', 'daylight%1:28:00::', 'daytime%1:28:00::']
26459	sale	['00403065-a', '00420808-a']	['stained%3:00:00::', 'dirty%3:00:01::', 'unclean%3:00:04::', 'soiled%3:00:04::']
16435	décorer	['01679858-v', '00263092-n']	['ornament%2:36:00::', 'embellish%2:36:00::', 'adorn%2:36:00::', 'decorate%2:36:00::', 'beautify%2:36:00::', 'grace%2:36:00::', 'decoration%1:04:00::']
5374	plusieurs	['00007414-r', '01683245-s', '02276025-s', '00496454-s']	['just_about%4:02:00::', 'approximately%4:02:00::', 'roughly%4:02:00::', 'close_to%4:02:00::', 'about%4:02:00::', 'some%4:02:00::', 'or_so%4:02:00::', 'more_or_less%4:02:00::', 'around%4:02:03::', 'some%5:00:00:extraordinary:00', 'several%5:00:00:some:00', 'various%5:00:00:individual:00', 'several%5:00:00:individual:00', 'respective%5:00:00:individual:00']
5968	couleur	['04963771-n']	['colouring%1:07:00::', 'color%1:07:00::', 'colour%1:07:00::', 'coloring%1:07:00::']
25072	presser	['00452603-v', '01353653-v']	['drain%2:30:01::', 'wring%2:35:02::']
5568	sortir	['01999243-v', '01355093-v', '01217161-v']	['draw%2:38:01::', 'get_out%2:38:02::', 'pull%2:38:03::', 'pull_out%2:38:03::', 'take_out%2:38:10::', 'take_out%2:35:00::', 'bring_out%2:35:01::', 'get_out%2:35:00::']
25560	sucre	['14816873-n', '07875260-n']	['carbohydrate%1:27:00::', 'sugar%1:27:00::', 'saccharide%1:27:00::', 'refined_sugar%1:13:00::', 'sugar%1:13:00::']
32340	bon	['02403682-a', '02405305-s']	['tasty%3:00:00::', 'luscious%5:00:00:tasty:00', 'yummy%5:00:00:tasty:00', 'pleasant-tasting%5:00:00:tasty:00', 'toothsome%5:00:00:tasty:00', 'delicious%5:00:00:tasty:00', 'scrumptious%5:00:00:tasty:00', 'delectable%5:00:00:tasty:00']
27608	cave	['02995302-n']	['wine_cellar%1:06:00::', 'cellar%1:06:01::']
