clips	text	text_process	pictos	tokens
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-117	et ce bédouin avait une femme	et ce bédouin avait une femme	[11399, 9839, 16080, 32761, 8474, 24621]	et passé ce avoir une femme
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-76	et il a demandé une autre carafe	et il a demandé une autre carafe	[11399, 9839, 6480, 9840, 8474, 17054, 37689]	et passé il demander une autre carafe
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-119	elle tournait plus particulièrement autour du barbier de lèvre-coupée	elle tournait plus particulièrement autour du barbier de lèvre-coupée	[9839, 7028, 6006, 5508, 5376, 7074, 2850, 7074, 2944, 26310]	passé elle tourner plus autour de barbier de langue pensée
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-45	il s'est assis dessus en face de lui le maître de maison a dit	il s'est assis dessus en face de lui le maître de maison a dit	[9839, 6480, 36480, 10177, 5451, 27365, 7074, 6481, 8476, 2457, 7074, 2317, 9693]	passé il être s'asseoir sur en_face de lui le maître de maison dire
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-44	l'homme a regardé par terre une dalle froide	l'homme a regardé par terre une dalle froide	[9839, 8476, 4665, 6564, 7212, 3160, 8474, 6054, 35589]	passé le homme voir par terre une carreau froid
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-46	alors écoute nous allons commencer par ben	alors écoute nous allons commencer par ben	[9829, 31672, 5431, 7212]	prochain nous commencer par
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-129	il a continué son chemin	il a continué son chemin	[9839, 6480, 24998, 12272, 6955]	passé il continuer son chemin
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-112	je n'ai rien je ne peux pas me racheter	je n'ai rien je ne peux pas me racheter	[6632, 32761, 29839, 6632, 35949, 5526]	me avoir rien me pouvoir non
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-109	vas-tu t'acheter esclave	vas-tu t'acheter esclave	[8142, 6625, 6457, 3417]	aller toi acheter !
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-87	alors il a dit cela fait bien longtemps	alors il a dit cela fait bien longtemps	[9839, 6480, 9693, 6906, 6190, 5397, 37678]	passé il dire celle-là faire heureusement longtemps
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-16	respectueusement je me suis agenouillé	respectueusement je me suis agenouillé	[9839, 6632, 36492]	passé me poser_un_genou_à_terre
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-30	mais lève-toi mon ami lève-toi tu vas manger	mais lève-toi mon ami lève-toi tu vas manger	[11377, 36073, 6625, 12264, 8487, 36073, 6625, 9829, 6625, 38413]	cependant lever toi mon ami lever toi prochain toi manger
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-22	non non je n'ai pas mangé	non non je n'ai pas mangé	[5525, 9839, 6632, 38413, 5526]	non passé me manger non
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-15	il y avait là un homme d'allure noble	il y avait là un homme d'allure noble	[9001, 5375, 2627, 4665, 7074]	il_y_a là un homme de
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-34	et le maître de maison a dit mais lave-toi les mains lave-toi les mains mon ami voyons lave-toi les mains puis mangeons	et le maître de maison a dit mais lave-toi les mains lave-toi les mains mon ami voyons lave-toi les mains puis mangeons	[11399, 9839, 8476, 2457, 7074, 2317, 9693, 11377, 21824, 6625, 8477, 9830, 21824, 6625, 8477, 9830, 12264, 8487, 6564, 21824, 6625, 8477, 9830, 6456]	et passé le maître de maison dire cependant se_savonner toi les mains se_savonner toi les mains mon ami voir se_savonner toi les mains se_nourrir
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-116	l'homme le barbier et puis chaque jour c'était pareil	l'homme le barbier et puis chaque jour c'était pareil	[8476, 4665, 8476, 2850, 5596, 37371, 9839, 7095, 36480, 32392]	le homme le barbier tout jour passé celui-là être pareil
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-118	et la femme elle tournait autour des prisonniers	et la femme elle tournait autour des prisonniers	[11399, 8476, 24621, 9839, 7028, 6006, 5376, 7074, 4725]	et le femme passé elle tourner autour de prisonnier
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-65	puis plus j'ai le ventre plein	puis plus j'ai le ventre plein	[5508, 6632, 32761, 8476, 2786, 26176]	plus me avoir le ventre plein
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-18	pourrais-je avoir à manger l'homme	pourrais-je avoir à manger l'homme	[35949, 6632, 32761, 7041, 38413, 8476, 4665, 3417]	pouvoir me avoir à manger le homme !
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-12	ils m'ont dit mais vas le voir	ils m'ont dit mais vas le voir	[9839, 7032, 6632, 9693, 11377, 8142, 8476, 6564]	passé ils me dire cependant aller le voir
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-27	ah moi qui vis à bagdad	ah moi qui vis à bagdad	[6632, 11351, 6564, 7041, 2704]	me que voir à ville
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-14	alors j'ai avancé je suis arrivé dans une cour intérieure	alors j'ai avancé je suis arrivé dans une cour intérieure	[9839, 6632, 2432, 6632, 16807, 7034, 8474, 33065, 5439]	passé me partir me arrive dans une cour dedans
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-88	je me livre à ce petit jeu	je me livre à ce petit jeu	[6632, 2450, 7041, 16080, 4716, 9810]	me livre à ce petit jeu
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-99	le sultan a confisqué tous ses biens parce qu'il n'avait pas d'héritier	le sultan a confisqué tous ses biens parce qu'il n'avait pas d'héritier	[9839, 8476, 17324, 5596, 12276, 11185, 6480, 32761, 5526]	passé le sultan tout ses bien_que il avoir non
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-10	et les serviteurs n'ont rien répondu	et les serviteurs n'ont rien répondu	[11399, 9839, 8477, 3019, 29839, 28433]	et passé les chauffeurs rien répondre
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-53	et le mendiant s'est régalé avec des morceaux de poulet imaginaire	et le mendiant s'est régalé avec des morceaux de poulet imaginaire	[11399, 9839, 8476, 4723, 26533, 7064, 5374, 3369, 7074, 4952]	et passé le indigent ramasser avec plusieurs démolir de poulet
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-74	et le maître de maison a commencé à servir une fausse coupe et il a tendue à l'homme qui l'a saisie qui l'a remercié et qui a commencé à boire rien du tout	et le maître de maison a commencé à servir une fausse coupe et il a tendue à l'homme qui l'a saisie qui l'a remercié et qui a commencé à boire rien du tout	[11399, 9839, 8476, 2457, 7074, 2317, 5431, 7041, 7247, 8474, 22198, 3162, 11399, 6480, 17040, 7041, 8476, 4665, 11351, 8476, 32773, 11351, 8476, 8128, 11399, 11351, 5431, 7041, 6061, 29839, 7074, 5596]	et passé le maître de maison commencer à servir une faux gagner_un_prix et il donner à le homme que le saisir que le merci et que commencer à boire rien de tout
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-68	mais maintenant nous allons boire fais-moi le plaisir de boire	mais maintenant nous allons boire fais-moi le plaisir de boire	[11377, 32747, 9829, 31672, 6061, 6190, 6632, 8476, 7074, 6061]	cependant maintenant prochain nous boire faire me le de boire
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-43	et puis le maître de maison lui a dit installe-toi sur ce beau coussin moelleux	et puis le maître de maison lui a dit installe-toi sur ce beau coussin moelleux	[9839, 8476, 2457, 7074, 2317, 6481, 9693, 35715, 6625, 5451, 16080, 11194, 3264]	passé le maître de maison lui dire se_déplacer_en_fauteuil_roulant toi sur ce beau coussin
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-124	mais un beau jour la femme elle s'est tellement approchée qu'il n'a pas eu le temps de se reculer	mais un beau jour la femme elle s'est tellement approchée qu'il n'a pas eu le temps de se reculer	[11377, 2627, 11194, 37371, 9839, 8476, 24621, 7028, 5521, 6879, 11351, 6480, 32761, 5526, 8476, 22631, 7074, 38219]	cependant un beau jour passé le femme elle beaucoup approcher que il avoir non le époque de reculer
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-95	il s'occupait de ses affaires	il s'occupait de ses affaires	[9839, 6480, 24863, 7074, 12276]	passé il être_attentif de ses
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-66	alors l'hôte de la maison a dit oh mais attends	alors l'hôte de la maison a dit oh mais attends	[9839, 8476, 11552, 7074, 8476, 2317, 9693, 11377, 28677]	passé le épouse de le maison dire cependant attendre
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-70	je je ne peux pas boire	je je ne peux pas boire	[6632, 35949, 6061, 5526]	me pouvoir boire non
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-120	l'homme lui il essayait de la fuir	l'homme lui il essayait de la fuir	[9839, 8476, 4665, 6481, 6480, 26144, 7074, 8476, 21834]	passé le homme lui il essayer de le fuir
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-38	et il s'est lavé les mains également avec rien du tout	et il s'est lavé les mains également avec rien du tout	[11399, 9839, 6480, 37409, 3423, 7064, 29839, 7074, 5596]	et passé il lavage_des_mains égal avec rien de tout
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-55	il faisait marcher ses mâchoires	il faisait marcher ses mâchoires	[6480, 6190, 6044, 12276, 37473]	il faire marcher ses mâchoire
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-21	mais tu tu n'as pas mangé	mais tu tu n'as pas mangé	[11377, 9839, 6625, 38413, 5526]	cependant passé toi manger non
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-125	et à ce moment-là le maître le bédouin passait quand il a aperçu sa femme juste à côté de son prisonnier	et à ce moment-là le maître le bédouin passait quand il a aperçu sa femme juste à côté de son prisonnier	[11399, 7041, 16080, 22633, 5375, 8476, 2457, 9839, 8476, 31999, 32874, 6480, 36041, 12272, 24621, 21381, 5367, 12272, 4725]	et à ce instant là le maître passé le passer quand il apercevoir son femme juste à_côté_de son prisonnier
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-36	et il s'est dit visiblement il aime bien rire	et il s'est dit visiblement il aime bien rire	[11399, 9839, 6480, 9693, 6480, 37721, 5397, 13354]	et passé il dire il aimer heureusement rire
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-60	et au bout d'un moment le mendiant a regardé son hôte	et au bout d'un moment le mendiant a regardé son hôte	[11399, 11709, 7074, 2627, 22633, 9839, 8476, 4723, 6564, 12272]	et au de un instant passé le indigent voir son
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-94	et ce mendiant est devenu l'ami du maître de maison	et ce mendiant est devenu l'ami du maître de maison	[11399, 9839, 16080, 4723, 8476, 8487, 7074, 2457, 7074, 2317]	et passé ce indigent le ami de maître de maison
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-90	et on s'est vraiment lavé les mains	et on s'est vraiment lavé les mains	[11399, 9839, 31672, 37409]	et passé nous lavage_des_mains
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-1	oh commandeur des croyants	oh commandeur des croyants	[7074]	de
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-93	et on a vraiment mangé	et on a vraiment mangé	[11399, 9839, 31672, 38413]	et passé nous manger
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-52	régale-toi mon ami c'est pour toi	régale-toi mon ami c'est pour toi	[37779, 6625, 12264, 8487, 7095, 36480, 7194, 6625, 3417]	quelqu'un toi mon ami celui-là être pour toi !
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-122	si jamais mon maître l'aperçoit près de moi il va se faire des idées	si jamais mon maître l'aperçoit près de moi il va se faire des idées	[28359, 5527, 12264, 2457, 8476, 36041, 5367, 6632, 6480, 8142, 6190, 5374, 6531]	si jamais mon maître le apercevoir à_côté_de me il aller faire plusieurs inventer
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-113	et l'homme le frappait tant	et l'homme le frappait tant	[11399, 9839, 8476, 4665, 8476, 4714, 7168]	et passé le homme le frapper nombreux
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-131	et qui l'a ramené jusqu'à bagdad	et qui l'a ramené jusqu'à bagdad	[11399, 9839, 11351, 8476, 7280, 7771, 2704]	et passé que le apporter jusqu’à ville
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-110	et le mendiant le regardait et lui disait	et le mendiant le regardait et lui disait	[11399, 9839, 8476, 4723, 8476, 6564, 11399, 6481, 9693]	et passé le indigent le voir et lui dire
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-105	et un jour au cours d'un de ses voyages sa caravane s'est fait attaquer par des bédouins	et un jour au cours d'un de ses voyages sa caravane s'est fait attaquer par des bédouins	[11399, 2627, 37371, 11709, 23404, 7074, 2627, 7074, 12276, 11393, 12272, 6190, 4714, 7212, 5374]	et un jour au cours de un de ses itinéraire son faire frapper par plusieurs
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-56	et devant lui l'hôte de la maison faisait de même	et devant lui l'hôte de la maison faisait de même	[11399, 5438, 6481, 9839, 8476, 11552, 7074, 8476, 2317, 6190, 7074, 4667]	et devant lui passé le épouse de le maison faire de même
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-32	et le maître de maison a dit qu'on apporte tout de suite tout de suite qu'on apporte une bassine avec de l'eau	et le maître de maison a dit qu'on apporte tout de suite tout de suite qu'on apporte une bassine avec de l'eau	[11399, 9839, 8476, 2457, 7074, 2317, 9693, 11351, 31672, 7280, 13026, 13026, 11351, 31672, 7280, 8474, 35353, 7064, 7074, 8476, 6889]	et passé le maître de maison dire que nous apporter désormais désormais que nous apporter une bassine avec de le eau
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-69	et le mendiant a dit non non	et le mendiant a dit non non	[11399, 9839, 8476, 4723, 9693, 5525]	et passé le indigent dire non
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-111	mais je n'ai que ma pauvreté qui m'appartienne	mais je n'ai que ma pauvreté qui m'appartienne	[11377, 6632, 32761, 11351, 12264, 15521, 11351, 6632]	cependant me avoir que mon misère que me
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-75	et le maître de maison a bu rien du tout	et le maître de maison a bu rien du tout	[11399, 9839, 8476, 2457, 7074, 2317, 6061, 29839, 7074, 5596]	et passé le maître de maison boire rien de tout
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-73	et on a apporté un vin imaginaire et personne ne l'a apporté d'ailleurs	et on a apporté un vin imaginaire et personne ne l'a apporté d'ailleurs	[11399, 9839, 31672, 7280, 2627, 2614, 37779, 11399, 34560, 8476, 7280]	et passé nous apporter un vin quelqu'un et personne le apporter
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-72	et l'hôte de la maison a dit allons tu ne vas pas me fâcher qu'on apporte le vin	et l'hôte de la maison a dit allons tu ne vas pas me fâcher qu'on apporte le vin	[11399, 9839, 8476, 11552, 7074, 8476, 2317, 9693, 8142, 6625, 8142, 5526, 6632, 11351, 31672, 7280, 8476, 2614]	et passé le épouse de le maison dire aller toi aller non me que nous apporter le vin
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-24	je n'ai pas mangé depuis hier	je n'ai pas mangé depuis hier	[9839, 6632, 38413, 5526, 7074, 38279]	passé me manger non de hier
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-7	et un matin j'ai frappé à la porte d'une grande demeure presqu'un palais	et un matin j'ai frappé à la porte d'une grande demeure presqu'un palais	[11399, 2627, 25704, 9839, 6632, 7041, 37139, 7074, 8474, 4658, 2627, 25289]	et un matin passé me à donner_un_coup_de_pied_dans_la_porte de une grand un palais
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-47	tiens du poulet du poulet à la pistache qu'on apporte le poulet à la pistache	tiens du poulet du poulet à la pistache qu'on apporte le poulet à la pistache	[32761, 7074, 4952, 7074, 4952, 7041, 8476, 8322, 11351, 31672, 7280, 8476, 4952, 7041, 8476, 8322, 3417]	avoir de poulet de poulet à le pistache que nous apporter le poulet à le pistache !
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-123	et là dieu seul sait ce que j'aurais en récompense	et là dieu seul sait ce que j'aurais en récompense	[11399, 5375, 16080, 11351, 6632, 32761, 11709, 26845]	et là ce que me avoir au récompense
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-39	et puis le maître de maison a dit qu'on m'apporte une serviette une serviette ah merci pour la serviette	et puis le maître de maison a dit qu'on m'apporte une serviette une serviette ah merci pour la serviette	[9839, 8476, 2457, 7074, 2317, 9693, 11351, 31672, 6632, 7280, 8474, 2569, 8474, 2569, 8128, 7194, 8476, 2569]	passé le maître de maison dire que nous me apporter une serviette une serviette merci pour le serviette
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-51	regarde comme il pose juste devant toi	regarde comme il pose juste devant toi	[6564, 12313, 6480, 37298, 21381, 5438, 6625, 3417]	voir comme il allongé juste devant toi !
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-92	puis des fruits secs puis des plats du poisson de la viande des desserts	puis des fruits secs puis des plats du poisson de la viande des desserts	[7074, 20105, 7074, 4685, 7074, 2520, 7074, 8476, 6961, 7074, 7216]	de fruit_sec de lisse de poisson de le viande de desserts
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-59	on a vu des légumes on a vu de la viande du poisson	on a vu des légumes on a vu de la viande du poisson	[9839, 31672, 6564, 5374, 29131, 31672, 6564, 7074, 8476, 6961, 7074, 2520]	passé nous voir plusieurs légumes nous voir de le viande de poisson
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-85	et là le mendiant a dit oh maître je crois que c'est le vin qui m'a rendu saoûl	et là le mendiant a dit oh maître je crois que c'est le vin qui m'a rendu saoûl	[11399, 5375, 9839, 8476, 4723, 9693, 2457, 6632, 38796, 11351, 7095, 36480, 8476, 2614, 11351, 6632, 9026]	et là passé le indigent dire maître me réfléchir que celui-là être le vin que me rendre
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-42	et le mendiant s'est essuyé avec une serviette imaginaire	et le mendiant s'est essuyé avec une serviette imaginaire	[11399, 9839, 8476, 4723, 36480, 36555, 7064, 8474, 2569]	et passé le indigent être essuyer_l'urine avec une serviette
cefc-frenchoralnarrative-Bizouerne_062-9_BARBIER_FIN-86	et le maître de maison a trouvé que cet homme avait de la repartie	et le maître de maison a trouvé que cet homme avait de la repartie	[11399, 9839, 8476, 2457, 7074, 2317, 24742, 11351, 7091, 4665, 32761, 7074, 8476, 37163, 27093]	et passé le maître de maison trouver que cet homme avoir de le une_autre_fois pièce
