file	time	user	text	pictos_grammar	pictos_annot	pictos_grammar_tokens	pictos_annot_token	corpus_name
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691061387326.json	1691061387.0	cécile	et il a abandonné en haut d'une montagne	['11399', '9839', '6480', '21328', '11709', '6617', '7074', '8474', '5520']	['11399', '9839', '6480', '21328', '11709', '6617', '7074', '8474', '5520']	['et', 'passé', 'il', 'abandonner', 'au', 'monter', 'de', 'une', 'montagne']	['et', 'passé', 'il', 'abandonner', 'au', 'monter', 'de', 'une', 'montagne']	frenchoralnarrative
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691142926662.json	1691142926.0	chloé	on s'est beaucoup on a beaucoup fait les les bêtes hein	['9839', '31672', '36480', '5521', '31672', '5521', '6190', '8477', '25640']	['9839', '31672', '36480', '5521', '31672', '5521', '6190', '8477', '25640']	['passé', 'nous', 'être', 'beaucoup', 'nous', 'beaucoup', 'faire', 'les', 'bêtes']	['passé', 'nous', 'être', 'beaucoup', 'nous', 'beaucoup', 'faire', 'les', 'bêtes']	tufs
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691142148502.json	1691142148.0	chloé	c'était pas possible c'est la la la la mère de ma copine euh	['7095', '36480', '5526', '7095', '36480', '8476', '31148', '7074', '12264', '30152']	['7095', '36480', '5526', '7095', '36480', '8476', '31148', '7074', '12264', '37798']	['celui-là', 'être', 'non', 'celui-là', 'être', 'le', 'mère', 'de', 'mon', 'femme_en_sous-vêtements']	['celui-là', 'être', 'non', 'celui-là', 'être', 'le', 'mère', 'de', 'mon', 'bien-aimée']	tufs
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691057989525.json	1691057989.0	chloé	et il a demandé une autre carafe	['11399', '9839', '6480', '9840', '8474', '17054', '37689']	['11399', '9839', '6480', '9840', '8474', '17054', '37689']	['et', 'passé', 'il', 'demander', 'une', 'autre', 'carafe']	['et', 'passé', 'il', 'demander', 'une', 'autre', 'carafe']	frenchoralnarrative
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690904195496.json	1690904195.0	cécile	bon quoi	['34641', '22620']	['34641', '22620']	['exact', 'quoi']	['exact', 'quoi']	cfpp
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691139790292.json	1691139790.0	chloé	enfin normalement c'est rotonde mais ils disent rotonde	['7095', '36480', '2704', '11377', '7032', '9693', '2704']	['7095', '36480', '2704', '11377', '7032', '9693', '2704']	['celui-là', 'être', 'ville', 'cependant', 'ils', 'dire', 'ville']	['celui-là', 'être', 'ville', 'cependant', 'ils', 'dire', 'ville']	tcof
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691079621303.json	1691079621.0	chloé	c'est vrai	['7095', '36480', '8715']	['7095', '36480', '8715']	['celui-là', 'être', 'vérité']	['celui-là', 'être', 'vérité']	clapi
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690904307221.json	1690904307.0	cécile	ah oui	['5584']	['5584']	['oui']	['oui']	cfpp
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690907752838.json	1690907752.0	chloé	en plus même pour les concours les	['11709', '5508', '4667', '7194', '8477', '37313', '8477']	['11709', '5508', '4667', '7194', '8477', '37313', '8477']	['au', 'plus', 'même', 'pour', 'les', 'compétition', 'les']	['au', 'plus', 'même', 'pour', 'les', 'compétition', 'les']	clapi
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690967863816.json	1690967863.0	chloé	euh laissez-moi cin dix minutes	['21793', '6632', '35691', '37374']	['21793', '6632', '35691', '37374']	"[""s'en_aller"", 'me', '_', 'minute']"	"[""s'en_aller"", 'me', '_', 'minute']"	cfpb
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690968901200.json	1690968901.0	chloé	n il y a encore des délibés qui se donnent	['5526', '9001', '37163', '5374', '37779', '9857', '17040']	['9001', '37163', '5374', '37779', '9857', '17040']	"['non', 'il_y_a', 'une_autre_fois', 'plusieurs', ""quelqu'un"", 'anonymes', 'donner']"	"['il_y_a', 'une_autre_fois', 'plusieurs', ""quelqu'un"", 'anonymes', 'donner']"	cfpb
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690989215842.json	1690989215.0	chloé	euh moi je serais encore resté	['9839', '6632', '27206']	['9839', '6632', '27206']	['passé', 'me', 'rester']	['passé', 'me', 'rester']	crfp
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691061358452.json	1691061358.0	cécile	il a fait semblant de manger	['9839', '6480', '6190', '7074', '38413']	['9839', '6480', '6190', '7074', '38413']	['passé', 'il', 'faire', 'de', 'manger']	['passé', 'il', 'faire', 'de', 'manger']	frenchoralnarrative
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690964265537.json	1690964265.0	cécile	content et heureux oui	['31923', '11399', '3245', '5584']	['31923', '11399', '3245', '5584']	['content', 'et', 'heureux', 'oui']	['content', 'et', 'heureux', 'oui']	cfpb
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691066429927.json	1691066429.0	cécile	oui oui	['5584']	['5584']	['oui']	['oui']	clapi
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691152137709.json	1691152137.0	cécile	dépasse le cadre des académies	['8482', '8476', '3281', '7074', '34161', '3417']	['8482', '8476', '3281', '7074', '34161']	['dépasser', 'le', 'cadre', 'de', 'académie', '!']	['dépasser', 'le', 'cadre', 'de', 'académie']	valibel
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690985045375.json	1690985045.0	cécile	y avait eu des pluies	['9001', '5374', '3123']	['9001', '5374', '3123']	['il_y_a', 'plusieurs', 'pluie']	['il_y_a', 'plusieurs', 'pluie']	crfp
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691064402972.json	1691064402.0	chloé	un cheval sans papiers euh demi-sang	['2627', '2294', '7813', '2398']	['2627', '2294', '7813', '2398']	['un', 'cheval', 'sans', 'feuilles']	['un', 'cheval', 'sans', 'feuilles']	ofrom
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691141781823.json	1691141781.0	chloé	hm alors c'était vraiment horrible parce que en plus le bateau il bougeait alors	['9839', '7095', '36480', '11348', '11709', '5508', '8476', '2273', '6480', '27371']	['9839', '7095', '36480', '11348', '11709', '5508', '8476', '2273', '6480', '27371']	['passé', 'celui-là', 'être', 'parce_que', 'au', 'plus', 'le', 'bateau', 'il', 'bouger']	['passé', 'celui-là', 'être', 'parce_que', 'au', 'plus', 'le', 'bateau', 'il', 'bouger']	tufs
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690903800030.json	1690903800.0	chloé	parce que la première génération moi je dis que la la la première génération ils ont eu besoin de besoin de moi mon père ils ont été le chercher au maroc	['11348', '8476', '4726', '9839', '24515', '6632', '9693', '11351', '8476', '4726', '24515', '7032', '32761', '37160', '7074', '37160', '7074', '6632', '12264', '2497', '7032', '36480', '8476', '6947', '11709', '8159']	['11348', '8476', '4726', '9839', '24515', '6632', '9693', '11351', '8476', '4726', '24515', '7032', '32761', '37160', '7074', '37160', '7074', '6632', '12264', '2497', '7032', '36480', '8476', '6947', '11709', '8159']	['parce_que', 'le', 'premier', 'passé', 'génération', 'me', 'dire', 'que', 'le', 'premier', 'génération', 'ils', 'avoir', 'besoin', 'de', 'besoin', 'de', 'me', 'mon', 'père', 'ils', 'être', 'le', 'chercher', 'au', 'maroc']	['parce_que', 'le', 'premier', 'passé', 'génération', 'me', 'dire', 'que', 'le', 'premier', 'génération', 'ils', 'avoir', 'besoin', 'de', 'besoin', 'de', 'me', 'mon', 'père', 'ils', 'être', 'le', 'chercher', 'au', 'maroc']	cfpp
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690969802284.json	1690969802.0	chloé	si on s'aimera machin et tout	['28359', '9829', '31672', '37721', '36935', '11399', '5596']	['28359', '9829', '31672', '37721', '11399', '5596']	['si', 'prochain', 'nous', 'aimer', 'haut_du_corps', 'et', 'tout']	['si', 'prochain', 'nous', 'aimer', 'et', 'tout']	coralrom
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691078864666.json	1691078864.0	chloé	ah il est dans nos locaux oui	['6480', '36480', '7034', '12268', '5989', '5584']	['6480', '36480', '7034', '12268', '5989', '5584']	['il', 'être', 'dans', 'notre', 'bâtiment', 'oui']	['il', 'être', 'dans', 'notre', 'bâtiment', 'oui']	reunions
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690963990375.json	1690963990.0	cécile	et en plus bon je veux dire que regarde un peu quand tu tu m	['11399', '11709', '5508', '34641', '5441', '9693', '11351', '6564', '29105', '32874', '6625', '29074']	['11399', '11709', '5508', '34641', '6632', '5441', '9693', '11351', '6564', '29105', '32874', '6625', '29074']	['et', 'au', 'plus', 'exact', 'vouloir', 'dire', 'que', 'voir', 'seconde', 'quand', 'toi', 'm']	['et', 'au', 'plus', 'exact', 'me', 'vouloir', 'dire', 'que', 'voir', 'seconde', 'quand', 'toi', 'm']	cfpb
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691139785189.json	1691139785.0	cécile	j'ai pas d'accent	['6632', '32761', '5526']	['6632', '32761', '5526']	['me', 'avoir', 'non']	['me', 'avoir', 'non']	tcof
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691152273093.json	1691152273.0	chloé	les formations plus spécialisées de second et de troisième cycles	['8477', '8098', '5508', '7074', '28320', '11399', '7074', '34447', '24984']	['8477', '8098', '5508', '7074', '28320', '11399', '7074', '34447', '24984']	['les', 'éducation', 'plus', 'de', '2e', 'et', 'de', 'troisième', 'phases']	['les', 'éducation', 'plus', 'de', '2e', 'et', 'de', 'troisième', 'phases']	valibel
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691055148296.json	1691055148.0	cécile	et c'est surtout ça qu'il faut noter pour pour pouvoir localiser le l'exemplaire	['11399', '7095', '36480', '6906', '15523', '8490', '7194', '35949', '24741', '8476', '6903']	['11399', '7095', '36480', '6906', '15523', '8490', '7194', '35949', '24741', '8476', '25191']	['et', 'celui-là', 'être', 'celle-là', 'devoir', 'noter', 'pour', 'pouvoir', 'apparaître', 'le', 'année']	['et', 'celui-là', 'être', 'celle-là', 'devoir', 'noter', 'pour', 'pouvoir', 'apparaître', 'le', '_']	fleuron
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691064589839.json	1691064589.0	chloé	après coup quoi	['32749', '25944', '22620']	['32749']	['après', 'coup', 'quoi']	['après']	ofrom
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691065029450.json	1691065029.0	chloé	ben ils allaient ils allaient à pied	['9839', '7032', '8142', '7032', '3251']	['9839', '7032', '8142', '7032', '3251']	['passé', 'ils', 'aller', 'ils', 'aller_à_pied']	['passé', 'ils', 'aller', 'ils', 'aller_à_pied']	ofrom
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690909164971.json	1690909164.0	chloé	c'est un peu un style euh	['7095', '36480', '29105', '2627', '37150']	['7095', '36480', '29105', '2627']	['celui-là', 'être', 'seconde', 'un', 'style']	['celui-là', 'être', 'seconde', 'un']	clapi
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691064875108.json	1691064875.0	chloé	et puis euh ben maintenant euh oui ben je continue un petit peu là avec la le téléski	['32747', '5584', '6632', '24998', '4716', '29105', '5375', '7064', '8476', '37544']	['32747', '5584', '6632', '24998', '29105', '5375', '7064', '8476', '37544']	['maintenant', 'oui', 'me', 'continuer', 'petit', 'seconde', 'là', 'avec', 'le', 'groupe_parlementaire']	['maintenant', 'oui', 'me', 'continuer', 'seconde', 'là', 'avec', 'le', 'groupe_parlementaire']	ofrom
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690903530642.json	1690903530.0	cécile	c'est oui tu es qui pour me parler euh oui	['7095', '36480', '5584', '6625', '36480', '9857', '7194', '6632', '6517', '5584']	['7095', '36480', '5584', '6625', '36480', '9857', '7194', '6632', '6517', '5584']	['celui-là', 'être', 'oui', 'toi', 'être', 'anonymes', 'pour', 'me', 'parler', 'oui']	['celui-là', 'être', 'oui', 'toi', 'être', 'anonymes', 'pour', 'me', 'parler', 'oui']	cfpp
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691069002064.json	1691069002.0	cécile	par euh un outil ben oui non	['7212', '2627', '9883', '5584', '5525']	['7212', '2627', '9883', '5584', '5525']	['par', 'un', 'outil', 'oui', 'non']	['par', 'un', 'outil', 'oui', 'non']	reunions
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691143210104.json	1691143210.0	chloé	et toi tu fais souffler le vent	['11399', '6625', '6190', '6047', '8476', '7259']	['11399', '6625', '6190', '6047', '8476', '7259']	['et', 'toi', 'faire', 'souffler', 'le', 'vent']	['et', 'toi', 'faire', 'souffler', 'le', 'vent']	tufs
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690964435537.json	1690964435.0	cécile	en fait mon pap mon mon papa euh travaillait pour une société extérieure	['9839', '12264', '37779', '12264', '31146', '6624', '7194', '8474', '8693', '5475']	['9839', '12264', '37779', '12264', '31146', '6624', '7194', '8474', '8693', '5475']	"['passé', 'mon', ""quelqu'un"", 'mon', 'papa', 'travailler', 'pour', 'une', 'société', 'dehors']"	"['passé', 'mon', ""quelqu'un"", 'mon', 'papa', 'travailler', 'pour', 'une', 'société', 'dehors']"	cfpb
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691142329013.json	1691142329.0	cécile	pas mais comment elle a fait pour le louper	['5526', '11377', '22619', '9839', '7028', '6190', '7194', '8476', '32822']	['5526', '11377', '22619', '9839', '7028', '6190', '7194', '8476', '32822']	['non', 'cependant', 'comment', 'passé', 'elle', 'faire', 'pour', 'le', 'manquer']	['non', 'cependant', 'comment', 'passé', 'elle', 'faire', 'pour', 'le', 'manquer']	tufs
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691152131715.json	1691152131.0	chloé	si elles se situent près de la moyenne des pays de l'ocde ne représentent même pas la moitié des mêmes dépenses aux etats-unis	['28359', '7030', '32757', '5367', '8476', '7074', '35431', '7074', '8476', '12333', '37163', '16823', '4667', '5526', '8476', '5516', '7074', '4667', '36384', '7041', '29588']	['28359', '7030', '32757', '9819', '5367', '8476', '7074', '35431', '7074', '8476', '12333', '16823', '4667', '5526', '8476', '5516', '7074', '4667', '36384', '7041', '29588']	"['si', 'elles', 'mise_en_place', 'à_côté_de', 'le', 'de', 'comme', 'de', 'le', 'association', 'une_autre_fois', 'montrer', 'même', 'non', 'le', 'moitié', 'de', 'même', 'dépenses', 'à', ""etats_unis_d'amérique""]"	"['si', 'elles', 'mise_en_place', 'place', 'à_côté_de', 'le', 'de', 'comme', 'de', 'le', 'association', 'montrer', 'même', 'non', 'le', 'moitié', 'de', 'même', 'dépenses', 'à', ""etats_unis_d'amérique""]"	valibel
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690970266553.json	1690970266.0	chloé	les oui	['8477', '5584']	['8477', '5584']	['les', 'oui']	['les', 'oui']	coralrom
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691152408238.json	1691152408.0	cécile	là-bas c'est une fortune hein trois-mille francs	['5375', '7095', '36480', '8474', '11164']	['5375', '7095', '36480', '8474', '11164']	['là', 'celui-là', 'être', 'une', 'chance']	['là', 'celui-là', 'être', 'une', 'chance']	valibel
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691054145965.json	1691054145.0	chloé	que tu as tapé ça	['11351', '9839', '6625', '8999', '6906']	['11351', '9839', '6625', '8999', '6906']	['que', 'passé', 'toi', 'coup_de_poing', 'celle-là']	['que', 'passé', 'toi', 'coup_de_poing', 'celle-là']	fleuron
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691139696375.json	1691139696.0	chloé	hier j'ai vu le matthieu hier	['38279', '9839', '6632', '6564', '8476', '36935', '38279']	['38279', '9839', '6632', '6564', '8476', '36935', '38279']	['hier', 'passé', 'me', 'voir', 'le', 'haut_du_corps', 'hier']	['hier', 'passé', 'me', 'voir', 'le', 'haut_du_corps', 'hier']	tcof
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690968603388.json	1690968603.0	chloé	ben le wallon euh je vais dire que chacun a ses origines euh ses son	['8476', '23993', '9829', '6632', '9693', '11351', '36081', '32761', '12276', '12295', '12276', '12272']	['8476', '23993', '9829', '6632', '9693', '11351', '36081', '32761', '12276', '12295', '12276', '12272']	['le', 'catholique', 'prochain', 'me', 'dire', 'que', 'tout_le_monde', 'avoir', 'ses', 'raison', 'ses', 'son']	['le', 'catholique', 'prochain', 'me', 'dire', 'que', 'tout_le_monde', 'avoir', 'ses', 'raison', 'ses', 'son']	cfpb
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691139916827.json	1691139916.0	chloé	non mais c'est ça c'est les	['5525', '11377', '7095', '36480', '6906', '7095', '36480', '8477']	['5525', '11377', '7095', '36480', '6906', '7095', '36480', '8477']	['non', 'cependant', 'celui-là', 'être', 'celle-là', 'celui-là', 'être', 'les']	['non', 'cependant', 'celui-là', 'être', 'celle-là', 'celui-là', 'être', 'les']	tcof
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690908198419.json	1690908198.0	chloé	c'est ça décape	['7095', '36480', '6906', '5405']	['7095', '36480', '6906']	['celui-là', 'être', 'celle-là', 'bouffon']	['celui-là', 'être', 'celle-là']	clapi
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690908714644.json	1690908714.0	cécile	nan ça va	['5525', '11597']	['5525', '11597']	['non', 'comment_ça_va']	['non', 'comment_ça_va']	clapi
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691152481233.json	1691152481.0	chloé	cela exigera de chacun des décisions qui pourront être ressenties par certains comme des abandons ou des sacrifices	['9829', '9839', '6906', '7074', '36081', '5374', '14670', '9857', '35949', '30196', '7212', '5374', '12313', '5374', '11317', '5374']	['9829', '9839', '6906', '7074', '36081', '5374', '14670', '9857', '35949', '30196', '7212', '5374', '12313', '5374', '11317', '5374']	['prochain', 'passé', 'celle-là', 'de', 'tout_le_monde', 'plusieurs', 'choix', 'anonymes', 'pouvoir', 'sens', 'par', 'plusieurs', 'comme', 'plusieurs', 'ou', 'plusieurs']	['prochain', 'passé', 'celle-là', 'de', 'tout_le_monde', 'plusieurs', 'choix', 'anonymes', 'pouvoir', 'sens', 'par', 'plusieurs', 'comme', 'plusieurs', 'ou', 'plusieurs']	valibel
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691078886328.json	1691078886.0	chloé	il verra nnaammee cet après-midi euh voilà	['9829', '6480', '6564', '37779', '7091', '7268', '37730']	['9829', '6480', '6564', '37779', '7091', '7268']	"['prochain', 'il', 'voir', ""quelqu'un"", 'cet', 'après-midi', '_']"	"['prochain', 'il', 'voir', ""quelqu'un"", 'cet', 'après-midi']"	reunions
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691058700817.json	1691058700.0	chloé	je n'ai pas mangé depuis hier	['9839', '6632', '38413', '5526', '7077', '38279']	['9839', '6632', '38413', '5526', '7077', '38279']	['passé', 'me', 'manger', 'non', 'depuis', 'hier']	['passé', 'me', 'manger', 'non', 'depuis', 'hier']	frenchoralnarrative
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690970273152.json	1690970273.0	cécile	euh est-ce que est-ce que finalement on on consomme l'amour ou est-ce que est-ce qu'on subit l'amour	['3418', '36480', '16080', '11351', '31672', '6046', '8476', '37799', '11317', '36480', '16080', '11351', '3418', '31672', '8476', '37799']	['3418', '31672', '6046', '8476', '37799', '11317', '3418', '31672', '8476', '37799']	['est-ce_que', 'être', 'ce', 'que', 'nous', 'encourager', 'le', 'chéri', 'ou', 'être', 'ce', 'que', 'est-ce_que', 'nous', 'le', 'chéri']	['est-ce_que', 'nous', 'encourager', 'le', 'chéri', 'ou', 'est-ce_que', 'nous', 'le', 'chéri']	coralrom
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1691054062649.json	1691054062.0	cécile	ben ils m'ont dit que c'était seulement un chèque	['9839', '7032', '6632', '9693', '11351', '7095', '36480', '2627', '16605']	['9839', '7032', '6632', '9693', '11351', '7095', '36480', '2627', '16605']	['passé', 'ils', 'me', 'dire', 'que', 'celui-là', 'être', 'un', 'chèque']	['passé', 'ils', 'me', 'dire', 'que', 'celui-là', 'être', 'un', 'chèque']	fleuron
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690964848942.json	1690964848.0	cécile	euh attends	['28677']	['28677']	['attendre']	['attendre']	cfpb
/data/macairec/PhD/Grammaire/corpus/output_jsonPE/orfeo/all_output_orfeo/requestsPostEdition1690985157201.json	1690985157.0	cécile	nous avons fait plusieurs euh missions euh chrétiennes	['9839', '31672', '6190', '5374', '11580', '25028']	['9839', '31672', '6190', '5374', '11580', '25028']	['passé', 'nous', 'faire', 'plusieurs', 'élections', 'catholique']	['passé', 'nous', 'faire', 'plusieurs', 'élections', 'catholique']	crfp
